"servers";"round";"time";"type";"clientNum";"chamada";"busyServers";"queueSize";"numDelayed";"numServed";"cumD";"cumQ";"cumB"
7;1;2016-06-05 18:00:00;"start";0;"";7;0;0;0;0;0;0
7;1;2016-06-05 18:01:58;"arrive";1;"A";7;1;0;0;0;0;826,394800424576
7;1;2016-06-05 18:02:19;"arrive";2;"A";7;2;0;0;0;21,0564000606537;973,789600849152
7;1;2016-06-05 18:02:24;"arrive";3;"A";7;3;0;0;0;31,1692001819611;1009,18440127373
7;1;2016-06-05 18:02:36;"arrive";4;"A";7;4;0;0;0;67,3384003639221;1093,5792016983
7;1;2016-06-05 18:02:42;"arrive";5;"A";7;5;0;0;0;91,5640006065369;1135,97400212288
7;1;2016-06-05 18:03:11;"depart";-4;"I";7;4;1;1;72,9435999393463;235,153999090195;1337
7;1;2016-06-05 18:03:58;"arrive";6;"A";7;5;1;1;72,9435999393463;424,507600545883;1668,36880254745
7;1;2016-06-05 18:04:03;"arrive";7;"A";7;6;1;1;72,9435999393463;449,789600849152;1703,76360297203
7;1;2016-06-05 18:04:47;"arrive";8;"A";7;7;1;1;72,9435999393463;714,128001213074;2012,15840339661
7;1;2016-06-05 18:05:59;"arrive";9;"A";7;8;1;1;72,9435999393463;1218,52280163765;2516,55320382118
7;1;2016-06-05 18:06:09;"arrive";10;"A";7;9;1;1;72,9435999393463;1298,97400212288;2586,94800424576
7;1;2016-06-05 18:06:13;"arrive";11;"A";7;10;1;1;72,9435999393463;1335,48160266876;2615,34280467033
7;1;2016-06-05 18:07:05;"depart";-7;"I";7;9;2;2;358,830799818039;1849,27759599686;2975
7;1;2016-06-05 18:07:51;"arrive";12;"A";7;10;2;2;358,830799818039;2269,36880254745;3301,73760509491
7;1;2016-06-05 18:07:57;"arrive";13;"A";7;11;2;2;358,830799818039;2329,93280315399;3344,13240551949
7;1;2016-06-05 18:08:02;"depart";-6;"I";7;10;3;3;696,661599636078;2376,86759448051;3374
7;1;2016-06-05 18:08:14;"depart";-1;"I";7;9;4;4;1034,43599939346;2496,86759448051;3458
7;1;2016-06-05 18:08:48;"depart";1;"A";7;8;5;5;1400,15399909019;2802,86759448051;3696
7;1;2016-06-05 18:08:51;"depart";-2;"I";7;7;6;6;1692,81559872627;2826,86759448051;3717
7;1;2016-06-05 18:09:25;"depart";-3;"I";7;6;7;7;2014,4207983017;3064,86759448051;3955
7;1;2016-06-05 18:10:39;"depart";-5;"I";7;5;8;8;2365,96959781647;3508,86759448051;4473
7;1;2016-06-05 18:11:46;"arrive";14;"A";7;6;8;8;2365,96959781647;3847,81559872627;4947,52720594406
7;1;2016-06-05 18:11:51;"depart";6;"A";7;5;9;9;2717,46199727058;3873,07799363136;4977
7;1;2016-06-05 18:11:56;"arrive";15;"A";7;6;9;9;2717,46199727058;3902,30799818039;5017,92200636864
7;1;2016-06-05 18:12:37;"depart";2;"A";7;5;10;10;3104,89799666405;4143,23199272156;5299
7;1;2016-06-05 18:12:45;"depart";5;"A";7;4;11;11;3496,27759599686;4183,23199272156;5355
7;1;2016-06-05 18:13:40;"depart";8;"A";7;3;12;12;3844,60079526901;4403,23199272156;5740
7;1;2016-06-05 18:16:41;"arrive";16;"A";7;4;12;12;3844,60079526901;4948,93919563293;7013,31680679321
7;1;2016-06-05 18:18:00;"arrive";17;"A";7;5;12;12;3844,60079526901;5265,16479587555;7566,71160721779
7;1;2016-06-05 18:18:06;"arrive";18;"A";7;6;12;12;3844,60079526901;5290,44679617882;7602,10640764236
7;1;2016-06-05 18:18:08;"depart";7;"A";7;5;13;13;4454,86759448051;5302,35558962822;7616
7;1;2016-06-05 18:18:12;"depart";3;"A";7;4;14;14;4840,07799363136;5322,35558962822;7644
7;1;2016-06-05 18:18:59;"arrive";19;"A";7;5;14;14;4840,07799363136;5510,6419942379;7973,50120806694
7;1;2016-06-05 18:19:47;"arrive";20;"A";7;6;14;14;4840,07799363136;5750,92399454117;8309,89600849152
7;1;2016-06-05 18:20:01;"arrive";21;"A";7;7;14;14;4840,07799363136;5835,26239490509;8408,29080891609
7;1;2016-06-05 18:20:19;"depart";14;"A";7;6;15;15;5342,23199272156;5959,971585989;8533
7;1;2016-06-05 18:20:19;"arrive";22;"A";7;7;15;15;5342,23199272156;5961,41639399529;8534,68560934067
7;1;2016-06-05 18:20:41;"arrive";23;"A";7;8;15;15;5342,23199272156;6115,81119441986;8689,08040976524
7;1;2016-06-05 18:21:09;"depart";13;"A";7;7;16;16;5609,3295917511;6337,43358325958;8883
7;1;2016-06-05 18:21:28;"depart";12;"A";7;6;17;17;5816,37079071999;6470,43358325958;9016
7;1;2016-06-05 18:22:47;"depart";9;"A";7;5;18;18;6097,35558962822;6944,43358325958;9569
7;1;2016-06-05 18:23:29;"depart";10;"A";7;4;19;19;6367,2839884758;7154,43358325958;9863
7;1;2016-06-05 18:23:32;"arrive";24;"A";7;5;19;19;6367,2839884758;7167,84798908234;9886,47521018982
7;1;2016-06-05 18:23:43;"depart";11;"A";7;4;20;20;6603,15598726273;7221,07998180389;9961
7;1;2016-06-05 18:24:11;"arrive";25;"A";7;5;20;20;6603,15598726273;7334,71998786926;10159,8700106144
7;1;2016-06-05 18:24:48;"arrive";26;"A";7;6;20;20;6603,15598726273;7520,00198817253;10419,264811039
7;1;2016-06-05 18:25:54;"arrive";27;"A";7;7;20;20;6603,15598726273;7916,34038853645;10881,6596114635
7;1;2016-06-05 18:26:03;"arrive";28;"A";7;8;20;20;6603,15598726273;7979,73518896103;10945,0544118881
7;1;2016-06-05 18:27:35;"depart";20;"A";7;7;21;21;7056,971585989;8711,1015753746;11585
7;1;2016-06-05 18:27:40;"depart";17;"A";7;6;22;22;7497,73078465462;8746,1015753746;11620
7;1;2016-06-05 18:28:23;"arrive";29;"A";7;7;22;22;7497,73078465462;9007,91518592834;11925,4492123127
7;1;2016-06-05 18:28:45;"arrive";30;"A";7;8;22;22;7497,73078465462;9162,30998635292;12079,8440127373
7;1;2016-06-05 18:29:05;"arrive";31;"A";7;9;22;22;7497,73078465462;9322,76118683815;12220,2388131618
7;1;2016-06-05 18:29:37;"depart";15;"A";7;8;23;23;8033,43358325958;9604,02556991577;12439
7;1;2016-06-05 18:31:20;"depart";4;"A";7;7;24;24;8501,07998180389;10428,0255699158;13160
7;1;2016-06-05 18:31:56;"depart";18;"A";7;6;25;25;8965,66998028755;10680,0255699158;13412
7;1;2016-06-05 18:32:11;"arrive";32;"A";7;7;25;25;8965,66998028755;10774,8543815613;13522,6336135864
7;1;2016-06-05 18:33:21;"depart";24;"A";7;6;26;26;9478,20357871056;11259,2207679749;14007
7;1;2016-06-05 18:33:45;"arrive";33;"A";7;7;26;26;9478,20357871056;11408,3879799843;14181,028414011
7;1;2016-06-05 18:34:24;"depart";23;"A";7;6;27;27;9987,68077707291;11675,3595659733;14448
7;1;2016-06-05 18:34:51;"depart";16;"A";7;5;28;28;10515,1015753746;11837,3595659733;14637
7;1;2016-06-05 18:34:59;"depart";19;"A";7;4;29;29;10910,4659736156;11877,3595659733;14693
7;1;2016-06-05 18:35:08;"depart";22;"A";7;3;30;30;11292,773971796;11913,3595659733;14756
7;1;2016-06-05 18:36:15;"arrive";34;"A";7;4;30;30;11292,773971796;12117,11237216;15231,4232144356
7;1;2016-06-05 18:36:32;"arrive";35;"A";7;5;30;30;11292,773971796;12185,3379724026;15350,8180148602
7;1;2016-06-05 18:36:39;"depart";25;"A";7;4;31;31;11746,0255699158;12215,4679617882;15393
7;1;2016-06-05 18:36:42;"arrive";36;"A";7;5;31;31;11746,0255699158;12227,5895705223;15414,2128152847
7;1;2016-06-05 18:37:34;"depart";21;"A";7;4;32;32;12068,2207679749;12487,4375596046;15778
7;1;2016-06-05 18:37:41;"arrive";37;"A";7;5;32;32;12068,2207679749;12515,7847685814;15827,6076157093
7;1;2016-06-05 18:37:57;"depart";27;"A";7;4;33;33;12319,3595659733;12595,3507573605;15939
7;1;2016-06-05 18:39:18;"depart";30;"A";7;3;34;34;12501,4419639111;12919,3507573605;16506
7;1;2016-06-05 18:39:18;"arrive";38;"A";7;4;34;34;12501,4419639111;12919,780364275;16507,0024161339
7;1;2016-06-05 18:39:53;"depart";28;"A";7;3;35;35;12701,4679617882;13059,2075550556;16751
7;1;2016-06-05 18:39:54;"depart";26;"A";7;2;36;36;12893,4375596046;13062,2075550556;16758
7;1;2016-06-05 18:40:20;"arrive";39;"A";7;3;36;36;12893,4375596046;13114,6067597866;16941,3972165585
7;1;2016-06-05 18:41:37;"depart";36;"A";7;2;37;37;13129,3507573605;13345,0079526901;17479
7;1;2016-06-05 18:41:38;"depart";33;"A";7;1;38;38;13269,2075550556;13347,0079526901;17486
7;1;2016-06-05 18:42:09;"arrive";40;"A";7;2;38;38;13269,2075550556;13378,2639551163;17704,792016983
7;1;2016-06-05 18:42:16;"arrive";41;"A";7;3;38;38;13269,2075550556;13392,3767552376;17754,1868174076
7;1;2016-06-05 18:42:22;"arrive";42;"A";7;4;38;38;13269,2075550556;13410,5459554195;17796,5816178322
7;1;2016-06-05 18:43:07;"depart";35;"A";7;3;39;39;13436,0079526901;13589,0707452297;18109
7;1;2016-06-05 18:43:30;"arrive";43;"A";7;4;39;39;13436,0079526901;13659,346353054;18272,9764182568
7;1;2016-06-05 18:43:55;"arrive";44;"A";7;5;39;39;13436,0079526901;13759,5719532967;18448,3712186813
7;1;2016-06-05 18:43:56;"depart";31;"A";7;4;40;40;13542,751950264;13762,1639399529;18452
