"","x"
"1",103
"2",787
"3",1766
"4",425
"5",9
"6",131
"7",159
"8",1011
"9",517
"10",146
"11",70
"12",100
"13",50
"14",144
"15",192
"16",71
"17",138
"18",224
"19",32
"20",374
"21",65
"22",206
"23",6
"24",36
"25",10
"26",12
"27",48
"28",16
"29",581
"30",695
"31",5
"32",48
"33",408
"34",440
"35",171
"36",190
"37",342
"38",187
"39",1056
"40",240
"41",69
"42",610
"43",776
"44",241
"45",120
"46",128
"47",23
"48",3
"49",91
"50",312
"51",37
"52",94
"53",139
"54",271
"55",350
"56",47
"57",69
"58",40
"59",97
"60",343
"61",10
"62",33
"63",56
"64",332
"65",278
"66",13
"67",498
"68",363
"69",69
"70",170
"71",66
"72",71
"73",541
"74",62
"75",28
"76",170
"77",28
"78",17
"79",44
"80",27
"81",43
"82",69
"83",88
"84",12
"85",390
"86",189
"87",44
"88",417
"89",349
"90",103
"91",100
"92",172
"93",193
"94",54
"95",273
"96",62
"97",11
"98",11
"99",9
"100",183
"101",20
"102",25
"103",21
"104",11
"105",9
"106",17
"107",11
"108",119
"109",14
"110",30
"111",23
"112",74
"113",3
"114",6
"115",28
"116",81
"117",37
"118",37
"119",92
"120",21
"121",56
"122",3
"123",4
"124",45
"125",6
"126",24
"127",8
"128",19
"129",6
"130",4
"131",3
"132",17
"133",61
"134",7
"135",13
"136",11
"137",13
"138",55
"139",52
"140",5
"141",44
"142",42
"143",7
"144",40
"145",6
"146",11
"147",4
"148",4
"149",20
"150",35
"151",6
"152",25
"153",6
"154",4
"155",6
"156",19
"157",39
"158",8
"159",9
"160",24
"161",6
"162",5
"163",10
"164",10
"165",3
"166",12
"167",6
"168",12
"169",20
"170",18
"171",38
"172",19
"173",6
"174",20
"175",7
"176",39
"177",31
"178",8
"179",9
"180",11
"181",4
"182",34
"183",7
"184",5
"185",9
"186",19
"187",13
"188",9
"189",8
"190",6
"191",23
"192",12
"193",7
"194",9
"195",15
"196",67
"197",37
"198",18
"199",46
"200",32
"201",10
"202",27
"203",48
"204",8
"205",4
"206",9
"207",20
"208",14
"209",21
"210",20
"211",96
"212",27
"213",27
"214",26
"215",40
"216",10
"217",4
"218",9
"219",20
"220",20
"221",4
"222",29
"223",9
"224",3
"225",20
"226",134
"227",58
"228",63
"229",23
"230",30
"231",209
"232",7
"233",9
"234",5
