"","x"
"1",193
"2",54
"3",273
"4",62
"5",11
"6",11
"7",9
"8",183
"9",20
"10",25
"11",21
"12",11
"13",9
"14",17
"15",11
"16",119
"17",14
"18",30
"19",23
"20",74
"21",3
"22",6
"23",28
"24",81
"25",37
"26",37
"27",92
"28",21
"29",56
"30",3
"31",4
"32",45
"33",6
"34",24
"35",8
"36",19
"37",6
"38",4
"39",3
"40",17
"41",61
"42",7
"43",13
"44",11
"45",13
"46",55
"47",52
"48",5
"49",44
"50",42
"51",7
"52",40
"53",6
"54",11
"55",4
"56",4
"57",20
"58",35
"59",6
"60",25
"61",6
"62",4
"63",6
"64",19
"65",39
"66",8
"67",9
"68",24
"69",6
"70",5
"71",10
"72",10
"73",3
"74",12
"75",6
"76",12
"77",20
"78",18
"79",38
"80",19
"81",6
"82",20
"83",7
"84",39
"85",31
"86",8
"87",9
"88",11
"89",4
"90",34
"91",7
"92",5
"93",9
"94",19
"95",13
"96",9
"97",8
"98",6
"99",23
"100",12
"101",7
"102",9
"103",15
"104",67
"105",37
"106",18
"107",46
"108",32
"109",10
"110",27
"111",48
"112",8
"113",4
"114",9
"115",20
"116",14
"117",21
"118",20
"119",96
"120",27
"121",27
"122",26
"123",40
"124",10
"125",4
"126",9
"127",20
"128",20
"129",4
"130",29
"131",9
"132",3
"133",20
"134",134
"135",58
"136",63
"137",23
"138",30
"139",209
"140",7
"141",9
"142",5
"143",13
"144",4
"145",10
"146",151
"147",195
"148",229
"149",19
"150",23
"151",4
"152",3
"153",136
"154",9
"155",93
"156",109
"157",71
"158",139
"159",14
"160",2
"161",15
"162",46
"163",4
"164",4
"165",4
"166",7
"167",18
"168",77
"169",132
"170",4
"171",5
"172",24
"173",68
"174",104
"175",3
"176",4
"177",5
"178",50
"179",42
"180",17
"181",44
"182",79
"183",13
"184",5
"185",13
"186",2
"187",69
"188",13
"189",5
"190",15
"191",52
"192",10
"193",15
"194",100
"195",41
"196",5
"197",10
"198",18
"199",89
"200",5
"201",5
"202",28
"203",37
"204",5
"205",26
"206",41
"207",14
"208",7
"209",7
"210",6
"211",11
"212",17
"213",6
"214",4
"215",8
"216",8
"217",4
"218",12
"219",2
"220",20
"221",29
"222",5
"223",9
"224",11
"225",3
"226",7
"227",13
"228",90
"229",5
"230",2
"231",3
"232",9
"233",6
"234",5
"235",5
"236",7
"237",4
"238",6
"239",21
"240",17
"241",68
"242",57
"243",2
"244",4
"245",3
"246",7
"247",9
"248",14
"249",22
"250",97
"251",3
"252",87
"253",26
"254",24
"255",42
"256",11
"257",15
"258",106
"259",28
"260",130
"261",30
"262",12
"263",8
"264",27
"265",74
"266",9
"267",4
"268",9
"269",10
"270",48
"271",18
"272",144
"273",12
"274",16
"275",81
"276",37
"277",56
"278",7
"279",3
"280",6
"281",10
"282",13
"283",186
"284",61
"285",67
"286",59
"287",102
"288",9
"289",9
"290",2
"291",42
"292",19
"293",9
"294",93
"295",38
"296",5
"297",69
"298",82
"299",78
"300",10
"301",5
"302",3
"303",12
"304",8
"305",3
"306",16
"307",9
"308",11
"309",4
"310",14
"311",11
"312",4
"313",9
"314",3
"315",14
"316",38
"317",4
"318",21
"319",13
"320",13
"321",30
"322",11
"323",4
"324",32
"325",7
"326",60
"327",134
"328",41
"329",22
"330",39
"331",2
"332",25
"333",7
"334",28
"335",37
"336",8
"337",73
"338",27
"339",21
"340",10
"341",3
"342",6
"343",5
"344",3
"345",5
"346",16
"347",3
"348",17
"349",8
"350",11
"351",10
"352",6
"353",37
"354",8
"355",2
"356",19
"357",57
"358",9
"359",19
"360",22
"361",3
"362",13
"363",11
"364",13
"365",15
"366",6
"367",37
"368",17
"369",28
"370",26
"371",6
"372",21
"373",10
"374",18
"375",12
"376",6
"377",3
"378",6
"379",19
"380",5
"381",13
"382",21
"383",4
"384",3
"385",8
"386",18
"387",7
"388",3
"389",8
"390",22
"391",4
"392",14
"393",145
"394",16
"395",118
"396",352
"397",243
"398",79
"399",329
"400",41
"401",55
"402",91
"403",123
"404",140
"405",83
"406",18
"407",4
"408",5
"409",66
"410",13
"411",10
"412",70
"413",71
"414",24
"415",5
"416",4
"417",3
"418",112
"419",10
"420",19
"421",64
"422",119
"423",2
"424",90
"425",46
"426",27
"427",47
"428",22
"429",6
"430",4
"431",7
"432",28
"433",7
"434",11
"435",10
"436",4
"437",6
"438",3
"439",46
"440",53
"441",37
"442",26
"443",5
"444",24
"445",5
"446",6
"447",5
"448",6
"449",6
"450",3
"451",5
"452",3
"453",11
"454",6
"455",7
"456",6
"457",6
"458",6
"459",5
"460",5
"461",9
"462",20
"463",9
"464",8
"465",5
"466",85
"467",7
"468",39
"469",14
"470",16
"471",37
"472",26
"473",5
"474",7
"475",27
"476",16
"477",3
"478",5
"479",12
"480",20
"481",4
"482",12
"483",9
"484",28
"485",9
"486",11
"487",10
"488",31
"489",58
"490",3
"491",36
"492",7
"493",9
"494",27
"495",11
"496",42
"497",4
"498",95
"499",76
"500",91
"501",59
"502",57
"503",42
"504",50
"505",22
"506",4
"507",8
"508",74
"509",73
"510",56
"511",108
"512",69
"513",8
"514",9
"515",5
"516",35
"517",2
"518",6
"519",66
"520",19
"521",33
"522",54
"523",214
"524",7
"525",58
"526",25
"527",7
"528",5
"529",7
"530",10
"531",86
"532",38
"533",14
"534",222
"535",82
"536",61
"537",19
"538",19
"539",52
"540",3
"541",27
"542",13
"543",9
"544",4
"545",8
"546",6
"547",8
"548",218
"549",104
"550",20
"551",38
"552",32
"553",101
"554",47
"555",44
"556",50
"557",96
"558",10
"559",10
"560",27
"561",13
"562",20
"563",53
"564",9
"565",16
"566",9
"567",11
"568",7
"569",6
"570",11
"571",26
"572",7
"573",9
"574",7
"575",14
"576",8
"577",9
"578",3
"579",12
"580",8
"581",6
"582",15
"583",6
"584",7
"585",5
"586",5
"587",19
"588",4
"589",4
"590",21
"591",59
"592",23
"593",30
"594",10
"595",56
"596",57
"597",9
"598",7
"599",7
"600",4
"601",18
"602",4
"603",21
"604",5
"605",459
"606",27
"607",201
"608",71
"609",47
"610",85
"611",106
"612",64
"613",123
"614",35
"615",5
"616",90
"617",13
"618",132
"619",135
"620",51
"621",105
"622",4
"623",42
"624",87
"625",62
"626",23
"627",68
"628",45
"629",10
"630",30
"631",39
"632",12
"633",59
"634",56
"635",31
"636",13
"637",5
"638",32
"639",101
"640",35
"641",137
"642",69
"643",8
"644",9
"645",113
"646",9
"647",3
"648",62
"649",5
"650",42
"651",10
"652",12
"653",4
"654",8
"655",10
"656",26
"657",7
"658",9
"659",35
"660",6
"661",10
"662",27
"663",10
"664",77
"665",41
"666",11
"667",5
"668",5
"669",14
"670",16
"671",50
"672",63
"673",25
"674",12
"675",14
"676",8
"677",15
"678",3
"679",38
"680",6
"681",10
"682",15
"683",9
"684",18
"685",46
"686",24
"687",24
"688",40
"689",7
"690",2
"691",5
"692",6
"693",2
"694",4
"695",3
"696",23
"697",16
"698",48
"699",354
"700",113
"701",29
"702",28
"703",95
"704",42
"705",97
"706",406
"707",78
"708",28
"709",39
"710",25
"711",127
"712",154
"713",163
"714",13
"715",9
"716",184
"717",79
"718",276
"719",78
"720",13
"721",45
"722",240
"723",17
"724",68
"725",22
"726",8
"727",36
"728",9
"729",31
"730",8
"731",4
"732",52
"733",44
"734",16
"735",45
"736",33
"737",27
"738",6
"739",6
"740",9
"741",7
"742",5
"743",9
"744",27
"745",20
"746",38
"747",8
"748",28
"749",3
"750",30
"751",209
"752",6
"753",12
"754",16
"755",52
"756",19
"757",193
"758",201
"759",92
"760",95
"761",95
"762",531
"763",3
"764",621
"765",31
"766",62
"767",123
"768",64
"769",279
"770",49
"771",98
"772",50
"773",169
"774",12
"775",106
"776",112
"777",25
"778",13
"779",8
"780",10
"781",55
"782",5
"783",5
"784",28
"785",6
"786",33
"787",26
"788",54
"789",7
"790",11
"791",4
"792",5
"793",12
"794",8
"795",10
"796",106
"797",14
"798",112
"799",21
"800",65
"801",8
"802",66
"803",211
"804",8
"805",53
"806",212
"807",126
"808",33
"809",67
"810",445
"811",178
"812",374
"813",108
"814",21
"815",172
"816",12
"817",152
"818",125
"819",260
"820",30
"821",10
"822",14
"823",4
"824",36
"825",26
"826",22
"827",35
"828",6
"829",15
"830",35
"831",34
"832",10
"833",34
"834",50
"835",44
"836",35
"837",8
"838",140
"839",38
"840",6
"841",9
"842",416
"843",124
"844",43
"845",359
"846",4
"847",10
"848",306
"849",413
"850",169
"851",233
"852",17
"853",5
"854",144
"855",31
"856",41
"857",149
"858",10
"859",15
"860",30
"861",5
"862",28
"863",13
"864",256
"865",92
"866",70
"867",6
"868",4
"869",49
"870",44
"871",69
"872",5
"873",3
"874",3
"875",21
"876",18
"877",16
"878",19
"879",4
"880",5
"881",8
"882",23
"883",52
"884",5
"885",3
"886",20
"887",49
"888",3
"889",18
"890",31
"891",111
"892",39
"893",90
"894",50
