"","x"
"1",931
"2",94
"3",187
"4",23
"5",595
"6",964
"7",190
"8",110
"9",628
"10",10
"11",35
"12",1272
"13",275
"14",134
"15",293
"16",315
"17",74
"18",278
"19",480
"20",179
"21",484
"22",12
"23",20
"24",118
"25",601
"26",463
"27",814
"28",53
"29",1640
"30",20
"31",194
"32",117
"33",79
"34",4
"35",327
"36",347
"37",55
"38",63
"39",113
"40",20
"41",44
"42",13
"43",24
"44",7
"45",144
"46",68
"47",36
"48",114
"49",10
"50",34
"51",33
"52",22
"53",118
"54",63
"55",115
"56",4
"57",203
"58",70
"59",92
"60",100
"61",34
"62",248
"63",143
"64",105
"65",12
"66",175
"67",8
"68",214
"69",6
"70",88
"71",435
"72",41
"73",168
"74",103
"75",17
"76",168
"77",3
"78",79
"79",341
"80",96
"81",57
"82",114
"83",435
"84",26
"85",9
"86",52
"87",11
"88",53
"89",245
"90",110
"91",226
"92",53
"93",5
"94",155
"95",96
"96",6
"97",83
"98",200
"99",144
"100",67
"101",26
"102",451
"103",543
"104",96
"105",41
"106",124
"107",144
"108",385
"109",209
"110",29
"111",228
"112",13
"113",247
"114",373
"115",441
"116",400
"117",510
"118",95
"119",246
"120",148
"121",47
"122",196
"123",123
"124",75
"125",22
"126",5
"127",141
"128",16
"129",5
"130",6
"131",190
"132",141
"133",51
"134",53
"135",169
"136",699
"137",43
"138",76
"139",58
"140",24
"141",60
"142",148
"143",177
"144",10
"145",208
"146",173
"147",87
"148",46
"149",117
"150",13
"151",6
"152",67
"153",192
"154",14
"155",147
"156",180
"157",191
"158",202
"159",12
"160",340
"161",147
"162",98
"163",26
"164",13
"165",21
"166",25
"167",169
"168",170
"169",96
"170",17
"171",10
"172",369
"173",4
"174",114
"175",25
"176",20
"177",34
"178",47
"179",52
"180",27
"181",174
"182",41
"183",252
"184",91
"185",53
"186",56
"187",17
"188",62
"189",7
"190",55
"191",11
"192",24
"193",20
"194",61
"195",149
"196",34
"197",33
"198",43
"199",27
"200",50
"201",26
"202",57
"203",4
"204",4
"205",97
"206",6
"207",9
"208",19
"209",32
"210",15
"211",5
"212",109
"213",5
"214",32
"215",12
