Data;Hora Chegada;Chamada; Hora Chamada;Guiche;Tempo Espera
2016/02/03;09:36:16;E001;10:38:48;16;62
2016/02/03;10:06:02;B001;None;None;null
2016/02/03;10:16:14;E002;10:38:59;16;22
2016/02/03;10:37:18;A001;10:38:53;16;1
2016/02/03;10:38:26;A002;10:38:56;16;0
2016/02/03;10:41:46;A003;10:42:10;2;0
2016/02/03;10:51:47;A004;11:05:47;2;14
2016/02/03;11:03:36;A005;11:05:53;7;2
2016/02/03;11:17:30;A006;11:17:46;2;0
2016/02/03;11:20:21;A007;11:20:24;4;0
2016/02/03;11:48:28;A008;11:48:34;4;0
2016/02/03;13:02:01;A009;13:02:10;7;0
2016/02/03;13:02:09;A010;13:02:38;3;0
2016/02/03;13:02:30;A011;13:05:53;3;3
2016/02/03;13:02:39;A012;13:06:51;1;4
2016/02/03;13:08:23;A013;13:16:23;1;8
2016/02/03;13:08:33;A014;13:32:45;8;24
2016/02/03;13:15:26;A015;13:40:55;3;25
2016/02/03;13:37:47;A016;13:44:13;3;6
2016/02/03;13:48:37;A017;13:48:49;8;0
2016/02/03;13:48:52;A018;13:59:34;1;10
2016/02/03;13:58:21;A019;14:06:18;7;7
2016/02/03;14:00:04;A020;14:07:15;3;7
2016/02/03;14:10:56;A021;14:19:10;7;8
2016/02/03;14:13:48;A022;14:25:26;1;11
2016/02/03;14:14:51;A023;14:27:53;3;13
2016/02/03;14:15:29;A024;14:29:22;7;13
2016/02/03;14:17:07;A025;14:32:58;8;15
2016/02/03;14:18:28;A026;14:40:13;8;21
2016/02/03;14:22:36;A027;14:48:06;7;25
2016/02/03;14:25:42;A028;14:49:44;3;24
2016/02/03;14:28:06;A029;14:57:53;3;29
2016/02/03;14:29:06;A030;14:58:14;3;29
2016/02/03;14:30:06;A031;15:00:26;1;30
2016/02/03;14:33:31;A032;15:02:22;8;28
2016/02/03;14:39:32;A033;15:05:50;8;26
2016/02/03;14:44:35;A034;15:08:35;8;24
2016/02/03;14:46:06;A035;15:11:36;6;25
2016/02/03;14:50:53;A036;15:12:11;5;21
2016/02/03;14:58:00;A037;15:13:18;9;15
2016/02/03;15:09:42;A038;15:13:25;1;3
2016/02/03;15:10:24;A039;15:13:51;1;3
2016/02/03;15:11:38;A040;15:19:06;8;7
2016/02/03;15:15:06;A041;15:20:03;9;4
2016/02/03;15:17:49;A042;15:21:37;3;3
2016/02/03;15:20:54;A043;15:22:55;5;2
2016/02/03;15:21:25;E003;15:28:18;1;6
2016/02/03;15:23:35;A044;15:24:19;5;0
2016/02/03;15:38:17;A045;15:38:34;5;0
2016/02/03;15:40:55;A046;15:41:15;1;0
2016/02/03;15:41:35;A047;15:43:38;7;2
2016/02/03;15:59:39;A048;15:59:49;9;0
2016/02/03;16:09:44;A049;16:09:47;4;0
2016/02/03;16:30:12;A050;16:30:18;8;0
2016/02/03;16:32:24;A051;16:32:29;6;0
2016/02/03;16:35:50;A052;16:36:03;6;0
2016/02/03;16:56:30;A053;16:57:41;9;1
2016/02/03;17:06:06;A054;17:07:01;5;0
2016/02/03;17:10:36;E004;17:13:01;16;2
2016/02/03;17:23:43;A055;17:24:27;9;0
2016/02/03;17:31:39;A056;17:33:40;6;2
2016/02/03;17:32:32;A057;17:38:33;1;6
2016/02/03;17:39:54;A058;17:42:08;5;2
2016/02/03;17:41:56;A059;17:43:22;6;1
2016/02/03;17:43:10;A060;17:47:02;5;3
2016/02/03;17:46:53;A061;17:48:28;1;1
2016/02/03;17:51:59;A062;17:53:23;5;1
2016/02/03;17:54:38;A063;17:58:38;6;4
2016/02/03;18:10:09;A064;18:10:17;6;0
2016/02/03;18:11:43;A065;18:12:15;5;0
2016/02/03;18:14:50;A066;18:20:13;5;5
2016/02/03;18:15:13;A067;18:21:15;1;6
2016/02/03;18:25:08;A068;18:26:40;5;1
2016/02/03;18:41:12;E005;18:42:49;3;1
2016/02/03;18:44:22;A069;18:44:35;5;0
2016/02/03;18:46:12;A070;18:46:46;9;0
2016/02/03;18:56:40;A071;18:56:46;3;0
2016/02/03;18:56:50;A072;18:56:58;9;0
2016/02/03;18:57:25;A073;18:59:54;5;2
2016/02/03;19:04:21;A074;19:04:24;1;0
2016/02/03;19:04:27;A075;19:04:53;3;0
