"Data","Hora.Chegada","Chamada","Hora.Chamada","Guiche","Tempo.Espera","arrivalTimestamp","servStartTimestamp","turno","Tipo","waitingTime","servDuration","timediff"
"2016/02/03","17:06:06","A054","17:07:01","5","0",2016-02-03 17:06:06,2016-02-03 17:07:01,"2","A",55,2107,576
"2016/02/03","17:23:43","A055","17:24:27","9","0",2016-02-03 17:23:43,2016-02-03 17:24:27,"2","A",44,4939,787
"2016/02/03","17:31:39","A056","17:33:40","6","2",2016-02-03 17:31:39,2016-02-03 17:33:40,"2","A",121,582,476
"2016/02/03","17:32:32","A057","17:38:33","1","6",2016-02-03 17:32:32,2016-02-03 17:38:33,"2","A",361,595,53
"2016/02/03","17:39:54","A058","17:42:08","5","2",2016-02-03 17:39:54,2016-02-03 17:42:08,"2","A",134,294,442
"2016/02/03","17:41:56","A059","17:43:22","6","1",2016-02-03 17:41:56,2016-02-03 17:43:22,"2","A",86,916,122
"2016/02/03","17:43:10","A060","17:47:02","5","3",2016-02-03 17:43:10,2016-02-03 17:47:02,"2","A",232,381,74
"2016/02/03","17:46:53","A061","17:48:28","1","1",2016-02-03 17:46:53,2016-02-03 17:48:28,"2","A",95,1967,223
"2016/02/03","17:51:59","A062","17:53:23","5","1",2016-02-03 17:51:59,2016-02-03 17:53:23,"2","A",84,1132,306
"2016/02/03","17:54:38","A063","17:58:38","6","4",2016-02-03 17:54:38,2016-02-03 17:58:38,"2","A",240,699,159
"2016/02/03","18:10:09","A064","18:10:17","6","0",2016-02-03 18:10:09,2016-02-03 18:10:17,"3","A",8,4124,931
"2016/02/03","18:11:43","A065","18:12:15","5","0",2016-02-03 18:11:43,2016-02-03 18:12:15,"3","A",32,478,94
"2016/02/03","18:14:50","A066","18:20:13","5","5",2016-02-03 18:14:50,2016-02-03 18:20:13,"3","A",323,387,187
"2016/02/03","18:15:13","A067","18:21:15","1","6",2016-02-03 18:15:13,2016-02-03 18:21:15,"3","A",362,2589,23
"2016/02/03","18:25:08","A068","18:26:40","5","1",2016-02-03 18:25:08,2016-02-03 18:26:40,"3","A",92,1075,595
"2016/02/03","18:41:12","E005","18:42:49","3","1",2016-02-03 18:41:12,2016-02-03 18:42:49,"3","E",97,837,964
"2016/02/03","18:44:22","A069","18:44:35","5","0",2016-02-03 18:44:22,2016-02-03 18:44:35,"3","A",13,919,190
"2016/02/03","18:46:12","A070","18:46:46","9","0",2016-02-03 18:46:12,2016-02-03 18:46:46,"3","A",34,612,110
"2016/02/03","18:56:40","A071","18:56:46","3","0",2016-02-03 18:56:40,2016-02-03 18:56:46,"3","A",6,487,628
"2016/02/03","18:56:50","A072","18:56:58","9","0",2016-02-03 18:56:50,2016-02-03 18:56:58,"3","A",8,1577,10
"2016/02/03","18:57:25","A073","18:59:54","5","2",2016-02-03 18:57:25,2016-02-03 18:59:54,"3","A",149,3489,35
"2016/02/03","19:04:21","A074","19:04:24","1","0",2016-02-03 19:04:21,2016-02-03 19:04:24,"3","A",3,2438,416
"2016/02/03","19:04:27","A075","19:04:53","3","0",2016-02-03 19:04:27,2016-02-03 19:04:53,"3","A",26,1239,6
