"Data","Hora.Chegada","Chamada","Hora.Chamada","Guiche","Tempo.Espera","arrivalTimestamp","servStartTimestamp","turno","prefer","Tipo","waitingTime","servDuration","timediff"
"2016/02/03","20:09:11","A089","20:15:21","6","6",2016-02-03 20:09:11,2016-02-03 20:15:21,"3",FALSE,"A",370,1728,103
"2016/02/03","20:22:18","A090","20:23:13","5","0",2016-02-03 20:22:18,2016-02-03 20:23:13,"3",FALSE,"A",55,732,787
"2016/02/04","20:16:34","A120","20:17:13","3","0",2016-02-04 20:16:34,2016-02-04 20:17:13,"3",FALSE,"A",39,816,1766
"2016/02/04","20:23:39","EP002","20:24:03","5","0",2016-02-04 20:23:39,2016-02-04 20:24:03,"3",TRUE,"EP",24,598,425
"2016/02/04","20:30:40","A123","20:34:01","5","3",2016-02-04 20:30:40,2016-02-04 20:34:01,"3",FALSE,"A",201,896,9
"2016/02/04","20:32:51","A124","20:34:11","6","1",2016-02-04 20:32:51,2016-02-04 20:34:11,"3",FALSE,"A",80,89,131
"2016/02/04","20:35:30","A125","20:35:40","6","0",2016-02-04 20:35:30,2016-02-04 20:35:40,"3",FALSE,"A",10,462,159
"2016/02/05","20:07:11","A113","20:07:16","9","0",2016-02-05 20:07:11,2016-02-05 20:07:16,"3",FALSE,"A",5,1859,1011
"2016/02/10","20:01:19","A218","20:02:25","1","1",2016-02-10 20:01:19,2016-02-10 20:02:25,"3",FALSE,"A",66,346,517
"2016/02/10","20:03:45","A219","20:04:37","4","0",2016-02-10 20:03:45,2016-02-10 20:04:37,"3",FALSE,"A",52,724,146
"2016/02/10","20:04:55","A220","20:05:29","9","0",2016-02-10 20:04:55,2016-02-10 20:05:29,"3",FALSE,"A",34,539,70
"2016/02/10","20:06:35","A221","20:07:47","5","1",2016-02-10 20:06:35,2016-02-10 20:07:47,"3",FALSE,"A",72,194,100
"2016/02/10","20:07:25","A222","20:08:11","1","0",2016-02-10 20:07:25,2016-02-10 20:08:11,"3",FALSE,"A",46,1515,50
"2016/02/10","20:09:49","A223","20:11:01","5","1",2016-02-10 20:09:49,2016-02-10 20:11:01,"3",FALSE,"A",72,631,144
"2016/02/10","20:13:01","A224","20:14:28","9","1",2016-02-10 20:13:01,2016-02-10 20:14:28,"3",FALSE,"A",87,15,192
"2016/02/10","20:14:12","A225","20:14:43","9","0",2016-02-10 20:14:12,2016-02-10 20:14:43,"3",FALSE,"A",31,509,71
"2016/02/10","20:16:30","A226","20:16:41","4","0",2016-02-10 20:16:30,2016-02-10 20:16:41,"3",FALSE,"A",11,249,138
"2016/02/10","20:20:14","A227","20:20:50","4","0",2016-02-10 20:20:14,2016-02-10 20:20:50,"3",FALSE,"A",36,281,224
