"","x"
"1",4124
"2",478
"3",387
"4",2589
"5",1075
"6",837
"7",919
"8",612
"9",487
"10",1577
"11",3489
"12",1085
"13",3860
"14",450
"15",1312
"16",397
"17",1644
"18",1267
"19",672
"20",596
"21",557
"22",785
"23",123
"24",5640
"25",4740
"26",2525
"27",1701
"28",2601
"29",218
"30",1566
"31",1645
"32",1293
"33",1134
"34",9
"35",245
"36",82
"37",344
"38",1427
"39",2691
"40",82
"41",511
"42",133
"43",24
"44",133
"45",400
"46",388
"47",2983
"48",856
"49",368
"50",19
"51",1166
"52",351
"53",390
"54",130
"55",2485
"56",713
"57",2116
"58",325
"59",289
"60",62
"61",102
"62",324
"63",375
"64",2563
"65",750
"66",914
"67",1434
"68",1462
"69",297
"70",128
"71",96
"72",403
"73",869
"74",67
"75",820
"76",13
"77",410
"78",1566
"79",88
"80",1062
"81",575
"82",2464
"83",100
"84",327
"85",641
"86",78
"87",101
"88",677
"89",331
"90",1021
"91",1875
"92",1553
"93",598
"94",353
"95",13
"96",568
"97",859
"98",1645
"99",709
"100",479
"101",683
"102",645
"103",147
"104",2771
"105",276
"106",748
"107",3317
"108",477
"109",614
"110",256
"111",706
"112",1139
"113",1347
"114",1945
"115",808
"116",1064
"117",478
"118",935
"119",397
"120",2963
"121",324
"122",2232
"123",86
"124",476
"125",743
"126",395
"127",284
"128",307
"129",291
"130",114
"131",134
"132",1179
"133",698
"134",3162
"135",433
"136",173
"137",730
"138",971
"139",577
"140",2977
"141",1308
"142",24
"143",425
"144",25
"145",185
"146",777
"147",1595
"148",466
"149",553
"150",2741
"151",165
"152",571
"153",615
"154",677
"155",747
"156",363
"157",764
"158",378
"159",381
"160",257
"161",1265
"162",527
"163",885
"164",130
"165",202
"166",133
"167",2109
"168",708
"169",331
"170",2721
"171",193
"172",632
"173",367
"174",2656
"175",8
"176",35
"177",1389
"178",617
"179",417
"180",41
"181",992
"182",469
"183",396
"184",535
"185",355
"186",437
"187",222
"188",1475
"189",327
"190",29
"191",310
"192",1574
"193",39
"194",382
"195",317
"196",15
"197",11
"198",295
"199",430
"200",128
"201",471
"202",155
"203",878
"204",207
"205",320
"206",244
"207",254
"208",787
"209",247
"210",632
"211",147
"212",20
"213",191
"214",261
"215",182
"216",405
"217",214
"218",260
"219",88
"220",109
"221",544
"222",601
"223",312
"224",152
"225",198
"226",373
"227",417
"228",425
"229",352
"230",13
"231",179
"232",18
"233",16
"234",224
"235",348
"236",714
"237",534
"238",300
"239",25
"240",766
"241",18
"242",506
"243",167
"244",231
"245",213
"246",168
"247",323
"248",177
"249",133
"250",572
"251",55
"252",21
"253",15
"254",25
"255",17
"256",29
"257",264
"258",16
"259",22
"260",251
"261",156
"262",30
"263",311
"264",581
"265",15
"266",11
"267",10
"268",9
"269",336
"270",354
"271",596
"272",12
"273",229
"274",12
"275",200
"276",33
"277",340
"278",298
"279",373
"280",308
"281",249
"282",19
"283",510
"284",835
"285",324
"286",361
"287",264
"288",351
"289",159
"290",1942
"291",405
"292",17
"293",384
"294",324
"295",52
"296",512
"297",2628
"298",113
"299",1040
"300",256
"301",404
"302",217
"303",215
"304",360
"305",245
"306",328
"307",311
"308",263
"309",454
"310",346
"311",230
"312",273
"313",1057
"314",89
"315",322
"316",276
"317",305
"318",274
"319",535
"320",579
"321",236
"322",249
"323",215
"324",457
"325",58
"326",250
"327",512
"328",352
"329",282
"330",558
"331",229
"332",866
"333",401
"334",310
"335",344
"336",327
"337",570
"338",262
"339",13
"340",305
"341",450
"342",378
"343",14
"344",417
"345",23
"346",324
"347",13
"348",299
"349",316
"350",13
"351",12
"352",12
"353",458
"354",408
"355",344
"356",838
"357",204
"358",219
"359",24
"360",291
"361",146
"362",313
"363",13
"364",226
"365",284
"366",1470
"367",136
"368",271
"369",41
"370",69
"371",156
"372",253
"373",1195
"374",260
"375",521
"376",207
"377",201
"378",414
"379",481
"380",617
"381",240
"382",248
"383",2055
"384",161
"385",18
"386",172
"387",241
"388",920
"389",235
"390",196
"391",492
"392",1327
"393",153
"394",14
"395",659
"396",163
"397",146
"398",13
"399",321
"400",208
"401",438
"402",270
"403",399
"404",292
"405",65
"406",220
"407",603
"408",502
"409",28
"410",655
"411",339
"412",206
"413",368
"414",176
"415",419
"416",733
"417",1232
"418",348
"419",179
"420",248
"421",462
"422",190
"423",335
"424",294
"425",18
"426",273
"427",19
"428",490
"429",273
"430",235
"431",222
"432",29
"433",15
"434",304
"435",156
"436",501
"437",1823
"438",420
"439",379
"440",100
"441",691
"442",65
"443",258
"444",314
"445",454
"446",16
"447",399
"448",26
"449",1807
"450",284
"451",317
"452",216
"453",13
"454",409
"455",510
"456",840
"457",95
"458",220
"459",67
"460",358
"461",239
"462",729
"463",530
"464",78
"465",91
"466",664
"467",13
"468",35
"469",13
"470",57
"471",453
"472",330
"473",64
"474",41
"475",294
"476",143
"477",534
"478",1228
"479",163
"480",2042
"481",456
"482",208
"483",425
"484",345
"485",669
"486",174
"487",312
"488",278
"489",609
"490",153
"491",358
"492",288
"493",166
"494",445
"495",386
"496",281
"497",323
"498",378
"499",18
"500",742
"501",158
"502",261
"503",663
"504",270
"505",421
"506",678
"507",225
"508",1092
"509",86
"510",222
"511",198
"512",405
"513",975
"514",384
"515",323
"516",273
"517",246
"518",248
"519",29
"520",264
"521",241
"522",642
"523",863
"524",139
"525",16
"526",14
"527",263
"528",591
"529",254
"530",48
"531",490
"532",256
"533",585
"534",149
"535",338
"536",455
"537",253
"538",186
"539",210
"540",130
"541",156
"542",330
"543",194
"544",236
"545",748
"546",180
"547",219
"548",281
"549",96
"550",380
"551",15
"552",8
"553",268
"554",361
"555",20
"556",414
"557",235
"558",91
"559",166
"560",746
"561",28
"562",38
"563",19
"564",27
"565",273
"566",154
"567",195
"568",279
"569",426
"570",266
"571",341
"572",603
"573",409
"574",181
"575",283
"576",712
"577",199
"578",623
"579",1553
"580",76
"581",384
"582",272
"583",173
"584",507
"585",2116
"586",141
"587",21
"588",1195
"589",27
"590",1322
"591",197
"592",336
"593",365
"594",294
"595",16
"596",357
"597",203
"598",222
"599",235
"600",13
"601",427
"602",91
"603",133
"604",237
"605",22
"606",210
"607",192
"608",910
"609",181
"610",234
"611",181
"612",629
"613",21
"614",268
"615",17
"616",473
"617",425
"618",582
"619",32
"620",228
"621",617
"622",52
"623",379
"624",578
"625",807
"626",39
"627",105
"628",392
"629",682
"630",277
"631",406
"632",59
"633",314
"634",563
"635",15
"636",14
"637",9
"638",8
"639",10
"640",10
"641",8
"642",10
"643",13
"644",125
"645",183
"646",648
"647",302
"648",296
"649",570
"650",197
"651",59
"652",343
"653",12
"654",229
"655",164
"656",22
"657",12
"658",544
"659",322
"660",15
"661",11
"662",848
"663",246
"664",172
"665",411
"666",258
"667",96
"668",1392
"669",627
"670",449
"671",215
"672",167
"673",30
"674",43
"675",488
"676",515
"677",245
"678",579
"679",567
"680",451
"681",390
"682",208
"683",462
"684",142
"685",239
"686",409
"687",352
"688",514
"689",300
"690",97
"691",49
"692",173
"693",241
"694",261
"695",185
"696",279
"697",9
"698",185
"699",1085
"700",314
"701",726
"702",2023
"703",325
"704",397
"705",155
"706",363
"707",163
"708",518
"709",153
"710",72
"711",697
"712",253
"713",145
"714",190
"715",321
"716",375
"717",330
"718",139
"719",108
"720",143
"721",214
"722",46
"723",503
"724",404
"725",283
"726",533
"727",26
"728",325
"729",221
"730",506
"731",294
"732",724
"733",324
"734",473
"735",256
"736",337
"737",83
"738",43
"739",1465
"740",431
"741",15
"742",14
"743",11
"744",1978
"745",473
"746",1313
"747",246
"748",135
"749",39
"750",282
"751",53
"752",76
"753",373
"754",248
"755",311
"756",359
"757",400
"758",348
"759",148
"760",1106
"761",393
"762",401
"763",425
"764",37
"765",1002
"766",850
"767",483
"768",14
"769",982
"770",797
"771",388
"772",199
"773",869
"774",86
"775",292
"776",447
"777",2216
"778",357
"779",67
"780",2949
"781",462
"782",44
"783",233
"784",633
"785",154
"786",66
"787",819
"788",338
"789",629
"790",1123
"791",637
"792",332
"793",226
"794",23
"795",67
"796",112
"797",504
"798",58
"799",87
"800",51
"801",69
"802",333
"803",10
"804",391
"805",987
"806",326
"807",201
"808",352
"809",2305
"810",661
"811",1516
"812",103
"813",346
"814",73
"815",225
"816",2828
"817",394
"818",61
"819",471
"820",340
"821",578
"822",210
"823",1796
"824",359
"825",742
"826",47
"827",321
"828",271
"829",754
"830",100
"831",92
"832",225
"833",39
"834",72
"835",678
"836",344
"837",84
"838",356
"839",634
"840",338
"841",468
"842",293
"843",151
"844",260
"845",80
"846",201
"847",481
"848",35
"849",48
"850",276
"851",196
"852",412
"853",324
"854",49
"855",99
"856",236
"857",390
"858",96
"859",444
"860",97
"861",359
"862",59
"863",197
"864",391
"865",33
"866",57
"867",36
"868",561
"869",338
"870",25
"871",58
"872",21
"873",67
"874",167
"875",298
"876",506
"877",280
"878",940
"879",621
"880",26
"881",455
"882",1289
"883",17
"884",17
"885",356
"886",460
"887",51
"888",46
"889",155
"890",274
"891",21
"892",30
"893",17
"894",291
"895",11
"896",197
"897",472
"898",159
"899",72
"900",11
"901",153
"902",17
"903",22
"904",175
"905",235
"906",370
"907",811
"908",334
"909",574
"910",60
"911",43
"912",628
"913",558
"914",424
"915",463
"916",620
"917",412
"918",156
