"","x"
"1",396
"2",535
"3",355
"4",437
"5",222
"6",1475
"7",327
"8",29
"9",310
"10",1574
"11",39
"12",382
"13",317
"14",15
"15",11
"16",295
"17",430
"18",128
"19",471
"20",155
"21",878
"22",207
"23",320
"24",244
"25",254
"26",787
"27",247
"28",632
"29",147
"30",20
"31",191
"32",261
"33",182
"34",405
"35",214
"36",260
"37",88
"38",109
"39",544
"40",601
"41",312
"42",152
"43",198
"44",373
"45",417
"46",425
"47",352
"48",13
"49",179
"50",18
"51",16
"52",224
"53",348
"54",714
"55",534
"56",300
"57",25
"58",766
"59",18
"60",506
"61",167
"62",231
"63",213
"64",168
"65",323
"66",177
"67",133
"68",572
"69",55
"70",21
"71",15
"72",25
"73",17
"74",29
"75",264
"76",16
"77",22
"78",251
"79",156
"80",30
"81",311
"82",581
"83",15
"84",11
"85",10
"86",9
"87",336
"88",354
"89",596
"90",12
"91",229
"92",12
"93",200
"94",33
"95",340
"96",298
"97",373
"98",308
"99",249
"100",19
"101",510
"102",835
"103",324
"104",361
"105",264
"106",351
"107",159
"108",1942
"109",405
"110",17
"111",384
"112",324
"113",52
"114",512
"115",2628
"116",113
"117",1040
"118",256
"119",404
"120",217
"121",215
"122",360
"123",245
"124",328
"125",311
"126",263
"127",454
"128",346
"129",230
"130",273
"131",1057
"132",89
"133",322
"134",276
"135",305
"136",274
"137",535
"138",579
"139",236
"140",249
"141",215
"142",457
"143",58
"144",250
"145",512
"146",352
"147",282
"148",558
"149",229
"150",866
"151",401
"152",310
"153",344
"154",327
"155",570
"156",262
"157",13
"158",305
"159",450
"160",378
"161",14
"162",417
"163",23
"164",324
"165",13
"166",299
"167",316
"168",13
"169",12
"170",12
"171",458
"172",408
"173",344
"174",838
"175",204
"176",219
"177",24
"178",291
"179",146
"180",313
"181",13
"182",226
"183",284
"184",1470
"185",136
"186",271
"187",41
"188",69
"189",156
"190",253
"191",1195
"192",260
"193",521
"194",207
"195",201
"196",414
"197",481
"198",617
"199",240
"200",248
"201",2055
"202",161
"203",18
"204",172
"205",241
"206",920
"207",235
"208",196
"209",492
"210",1327
"211",153
"212",14
"213",659
"214",163
"215",146
"216",13
"217",321
"218",208
"219",438
"220",270
"221",399
"222",292
"223",65
"224",220
"225",603
"226",502
"227",28
"228",655
"229",339
"230",206
"231",368
"232",176
"233",419
"234",733
"235",1232
"236",348
"237",179
"238",248
"239",462
"240",190
"241",335
"242",294
"243",18
"244",273
"245",19
"246",490
"247",273
"248",235
"249",222
"250",29
"251",15
"252",304
"253",156
"254",501
"255",1823
"256",420
"257",379
"258",100
"259",691
"260",65
"261",258
"262",314
"263",454
"264",16
"265",399
"266",26
"267",1807
"268",284
"269",317
"270",216
"271",13
"272",409
"273",510
"274",840
"275",95
"276",220
"277",67
"278",358
"279",239
"280",729
"281",530
"282",78
"283",91
"284",664
"285",13
"286",35
"287",13
"288",57
"289",453
"290",330
"291",64
"292",41
"293",294
"294",143
"295",534
"296",1228
"297",163
"298",2042
"299",456
"300",208
"301",425
"302",345
"303",669
"304",174
"305",312
"306",278
"307",609
"308",153
"309",358
"310",288
"311",166
"312",445
"313",386
"314",281
"315",323
"316",378
"317",18
"318",742
"319",158
"320",261
"321",663
"322",270
"323",421
"324",678
"325",225
"326",1092
"327",86
"328",222
"329",198
"330",405
"331",975
"332",384
"333",323
"334",273
"335",246
"336",248
"337",29
"338",264
"339",241
"340",642
"341",863
"342",139
"343",16
"344",14
"345",263
"346",591
"347",254
"348",48
"349",490
"350",256
"351",585
"352",149
"353",338
"354",455
"355",253
"356",186
"357",210
"358",130
"359",156
"360",330
"361",194
"362",236
"363",748
"364",180
"365",219
"366",281
"367",96
"368",380
"369",15
"370",8
"371",268
"372",361
"373",20
"374",414
"375",235
"376",91
"377",166
"378",746
"379",28
"380",38
"381",19
"382",27
"383",273
"384",154
"385",195
"386",279
"387",426
"388",266
"389",341
"390",603
"391",409
"392",181
"393",283
"394",712
"395",199
"396",623
"397",1553
"398",76
"399",384
"400",272
"401",173
"402",507
"403",2116
"404",141
"405",21
"406",1195
"407",27
"408",1322
"409",197
"410",336
"411",365
"412",294
"413",16
"414",357
"415",203
"416",222
"417",235
"418",13
"419",427
"420",91
"421",133
"422",237
"423",22
"424",210
"425",192
"426",910
"427",181
"428",234
"429",181
"430",629
"431",21
"432",268
"433",17
"434",473
"435",425
"436",582
"437",32
"438",228
"439",617
"440",52
"441",379
"442",578
"443",807
"444",39
"445",105
"446",392
"447",682
"448",277
"449",406
"450",59
"451",314
"452",563
"453",15
"454",14
"455",9
"456",8
"457",10
"458",10
"459",8
"460",10
"461",13
"462",125
"463",183
"464",648
"465",302
"466",296
"467",570
"468",197
"469",59
"470",343
"471",12
"472",229
"473",164
"474",22
"475",12
"476",544
"477",322
"478",15
"479",11
"480",848
"481",246
"482",172
"483",411
"484",258
"485",96
"486",1392
"487",627
"488",449
"489",215
"490",167
"491",30
"492",43
"493",488
"494",515
"495",245
"496",579
"497",567
"498",451
