"time","type","clientNum","chamada","busyServers","queueSize","numDelayed","cumQ","cumB"
2016-02-03 16:32:23,"start",0,"",0,0,0,0,0
2016-02-03 16:32:24,"arrive",1,"A051",1,0,0,0,0
2016-02-03 16:35:50,"arrive",2,"A052",2,0,0,0,206
2016-02-03 16:35:58,"depart",1,"A051",1,0,0,0,222
2016-02-03 16:56:30,"arrive",3,"A053",2,0,0,0,1454
2016-02-03 17:06:06,"arrive",4,"A054",3,0,0,0,2606
2016-02-03 17:23:16,"depart",3,"A053",2,0,0,0,5696
2016-02-03 17:23:43,"arrive",5,"A055",3,0,0,0,5750
2016-02-03 17:31:39,"arrive",6,"A056",4,0,0,0,7178
2016-02-03 17:32:32,"arrive",7,"A057",5,0,0,0,7390
2016-02-03 17:33:27,"depart",2,"A052",4,0,0,0,7665
2016-02-03 17:39:54,"arrive",8,"A058",5,0,0,0,9213
2016-02-03 17:41:13,"depart",4,"A054",4,0,0,0,9608
2016-02-03 17:41:21,"depart",6,"A056",3,0,0,0,9640
2016-02-03 17:41:56,"arrive",9,"A059",4,0,0,0,9745
2016-02-03 17:42:27,"depart",7,"A057",3,0,0,0,9869
2016-02-03 17:43:10,"arrive",10,"A060",4,0,0,0,9998
2016-02-03 17:44:48,"depart",8,"A058",3,0,0,0,10390
2016-02-03 17:46:53,"arrive",11,"A061",4,0,0,0,10765
2016-02-03 17:49:31,"depart",10,"A060",3,0,0,0,11397
2016-02-03 17:51:59,"arrive",12,"A062",4,0,0,0,11841
2016-02-03 17:54:38,"arrive",13,"A063",5,0,0,0,12477
2016-02-03 17:57:12,"depart",9,"A059",4,0,0,0,13247
2016-02-03 18:06:17,"depart",13,"A063",3,0,0,0,15427
2016-02-03 18:10:09,"arrive",14,"A064",4,0,0,0,16123
2016-02-03 18:10:51,"depart",12,"A062",3,0,0,0,16291
2016-02-03 18:11:43,"arrive",15,"A065",4,0,0,0,16447
2016-02-03 18:14:50,"arrive",16,"A066",5,0,0,0,17195
2016-02-03 18:15:13,"arrive",17,"A067",6,0,0,0,17310
2016-02-03 18:19:40,"depart",11,"A061",5,0,0,0,18912
2016-02-03 18:19:41,"depart",15,"A065",4,0,0,0,18917
2016-02-03 18:21:17,"depart",16,"A066",3,0,0,0,19301
2016-02-03 18:25:08,"arrive",18,"A068",4,0,0,0,19994
2016-02-03 18:41:12,"arrive",19,"E005",5,0,0,0,23850
2016-02-03 18:43:03,"depart",18,"A068",4,0,0,0,24405
2016-02-03 18:44:22,"arrive",20,"A069",5,0,0,0,24721
2016-02-03 18:46:02,"depart",5,"A055",4,0,0,0,25221
2016-02-03 18:46:12,"arrive",21,"A070",5,0,0,0,25261
2016-02-03 18:55:09,"depart",19,"E005",4,0,0,0,27946
2016-02-03 18:56:24,"depart",21,"A070",3,0,0,0,28246
2016-02-03 18:56:40,"arrive",22,"A071",4,0,0,0,28294
2016-02-03 18:56:50,"arrive",23,"A072",5,0,0,0,28334
2016-02-03 18:57:25,"arrive",24,"A073",6,0,0,0,28509
2016-02-03 18:58:22,"depart",17,"A067",5,0,0,0,28851
2016-02-03 18:59:41,"depart",20,"A069",4,0,0,0,29246
2016-02-03 19:04:21,"arrive",25,"A074",5,0,0,0,30366
2016-02-03 19:04:27,"arrive",26,"A075",6,0,0,0,30396
2016-02-03 19:04:46,"arrive",27,"E006",7,0,0,0,30510
2016-02-03 19:04:47,"depart",22,"A071",6,0,0,0,30517
2016-02-03 19:05:41,"arrive",28,"A076",7,0,0,0,30841
2016-02-03 19:08:08,"arrive",29,"AP001",8,0,0,0,31870
2016-02-03 19:09:18,"arrive",30,"A077",9,0,0,0,32430
2016-02-03 19:09:36,"arrive",31,"A078",9,1,1,0,32592
2016-02-03 19:09:45,"depart",30,"A077",9,0,1,9,32673
2016-02-03 19:13:11,"depart",28,"A076",8,0,1,9,34527
2016-02-03 19:14:49,"depart",27,"E006",7,0,1,9,35311
2016-02-03 19:18:53,"depart",14,"A064",6,0,1,9,37019
2016-02-03 19:23:07,"depart",23,"A072",5,0,1,9,38543
2016-02-03 19:24:56,"arrive",32,"A079",6,0,1,9,39088
2016-02-03 19:25:06,"depart",26,"A075",5,0,1,9,39148
2016-02-03 19:26:27,"arrive",33,"E007",6,0,1,9,39553
2016-02-03 19:29:49,"arrive",34,"A080",7,0,1,9,40765
2016-02-03 19:30:12,"arrive",35,"A081",8,0,1,9,40926
2016-02-03 19:30:17,"depart",34,"A080",7,0,1,9,40966
2016-02-03 19:33:01,"depart",29,"AP001",6,0,1,9,42114
2016-02-03 19:36:56,"depart",33,"E007",5,0,1,9,43524
2016-02-03 19:40:08,"depart",32,"A079",4,0,1,9,44484
2016-02-03 19:42:23,"arrive",36,"A083",5,0,1,9,45024
2016-02-03 19:44:59,"depart",25,"A074",4,0,1,9,45804
2016-02-03 19:45:05,"depart",36,"A083",3,0,1,9,45828
2016-02-03 19:48:20,"depart",31,"A078",2,0,1,9,46413
2016-02-03 19:50:47,"arrive",37,"A084",3,0,1,9,46707
2016-02-03 19:53:47,"arrive",38,"A085",4,0,1,9,47247
2016-02-03 19:54:05,"arrive",39,"A086",5,0,1,9,47319
2016-02-03 19:55:34,"depart",24,"A073",4,0,1,9,47764
2016-02-03 19:57:35,"depart",37,"A084",3,0,1,9,48248
2016-02-03 20:01:11,"depart",35,"A081",2,0,1,9,48896
2016-02-03 20:01:40,"depart",38,"A085",1,0,1,9,48954
2016-02-03 20:09:11,"arrive",40,"A089",2,0,1,9,49405
2016-02-03 20:12:27,"depart",39,"A086",1,0,1,9,49797
2016-02-03 20:22:18,"arrive",41,"A090",2,0,1,9,50388
2016-02-03 20:34:30,"depart",41,"A090",1,0,1,9,51852
2016-02-03 20:37:59,"depart",40,"A089",0,0,1,9,52061
2016-02-04 16:07:30,"arrive",42,"A073",1,0,1,9,52061
2016-02-04 16:25:38,"depart",42,"A073",0,0,1,9,53149
2016-02-04 16:25:43,"arrive",43,"A075",1,0,1,9,53149
2016-02-04 16:30:49,"arrive",44,"A077",2,0,1,9,53455
2016-02-04 16:30:54,"depart",43,"A075",1,0,1,9,53465
2016-02-04 16:30:54,"arrive",45,"A078",2,0,1,9,53465
2016-02-04 16:41:02,"depart",44,"A077",1,0,1,9,54681
2016-02-04 16:41:06,"arrive",46,"A079",2,0,1,9,54685
2016-02-04 16:46:29,"depart",45,"A078",1,0,1,9,55331
2016-02-04 16:46:36,"arrive",47,"A080",2,0,1,9,55338
2016-02-04 17:00:05,"depart",47,"A080",1,0,1,9,56956
2016-02-04 17:00:09,"arrive",48,"A081",2,0,1,9,56960
2016-02-04 17:02:35,"arrive",49,"E007",3,0,1,9,57252
2016-02-04 17:04:06,"arrive",50,"A082",4,0,1,9,57525
2016-02-04 17:04:35,"depart",48,"A081",3,0,1,9,57641
2016-02-04 17:08:50,"arrive",51,"A083",4,0,1,9,58406
2016-02-04 17:08:54,"depart",46,"A079",3,0,1,9,58422
2016-02-04 17:22:17,"depart",51,"A083",2,0,1,9,60831
2016-02-04 17:22:22,"arrive",52,"A084",3,0,1,9,60841
2016-02-04 17:26:36,"arrive",53,"E008",4,0,1,9,61603
2016-02-04 17:27:17,"depart",49,"E007",3,0,1,9,61767
2016-02-04 17:32:44,"depart",50,"A082",2,0,1,9,62748
2016-02-04 17:33:13,"arrive",54,"A085",3,0,1,9,62806
2016-02-04 17:33:36,"depart",53,"E008",2,0,1,9,62875
2016-02-04 17:34:01,"arrive",55,"A086",3,0,1,9,62925
2016-02-04 17:37:14,"arrive",56,"A087",4,0,1,9,63504
2016-02-04 17:37:44,"arrive",57,"A088",5,0,1,9,63624
2016-02-04 17:37:58,"arrive",58,"A089",6,0,1,9,63694
2016-02-04 17:38:11,"depart",55,"A086",5,0,1,9,63772
2016-02-04 17:39:04,"depart",58,"A089",4,0,1,9,64037
2016-02-04 17:39:38,"arrive",59,"A090",5,0,1,9,64173
2016-02-04 17:40:19,"depart",54,"A085",4,0,1,9,64378
2016-02-04 17:40:31,"arrive",60,"A091",5,0,1,9,64426
2016-02-04 17:43:24,"arrive",61,"A092",6,0,1,9,65291
2016-02-04 17:43:45,"arrive",62,"A093",7,0,1,9,65417
2016-02-04 17:43:48,"depart",61,"A092",6,0,1,9,65438
2016-02-04 17:43:54,"depart",52,"A084",5,0,1,9,65474
2016-02-04 17:46:02,"depart",56,"A087",4,0,1,9,66114
2016-02-04 17:50:34,"depart",62,"A093",3,0,1,9,67202
2016-02-04 17:50:41,"depart",57,"A088",2,0,1,9,67223
2016-02-04 17:51:37,"arrive",63,"A094",3,0,1,9,67335
2016-02-04 17:54:04,"arrive",64,"A095",4,0,1,9,67776
2016-02-04 18:13:29,"depart",63,"A094",3,0,1,9,72436
2016-02-04 18:13:33,"depart",60,"A091",2,0,1,9,72448
2016-02-04 18:15:16,"arrive",65,"A096",3,0,1,9,72654
2016-02-04 18:19:29,"depart",59,"A090",2,0,1,9,73413
2016-02-04 18:19:51,"arrive",66,"A097",3,0,1,9,73457
2016-02-04 18:22:05,"arrive",67,"A098",4,0,1,9,73859
2016-02-04 18:26:58,"arrive",68,"A099",5,0,1,9,75031
2016-02-04 18:29:35,"depart",67,"A098",4,0,1,9,75816
2016-02-04 18:32:13,"arrive",69,"A100",5,0,1,9,76448
2016-02-04 18:33:21,"depart",65,"A096",4,0,1,9,76788
2016-02-04 18:33:27,"arrive",70,"A101",5,0,1,9,76812
2016-02-04 18:38:05,"arrive",71,"A102",6,0,1,9,78202
2016-02-04 18:38:50,"depart",69,"A100",5,0,1,9,78472
2016-02-04 18:46:05,"arrive",72,"A103",6,0,1,9,80647
2016-02-04 18:48:50,"depart",68,"A099",5,0,1,9,81637
2016-02-04 18:49:04,"arrive",73,"A104",6,0,1,9,81707
2016-02-04 18:57:08,"arrive",74,"A105",7,0,1,9,84611
2016-02-04 18:57:17,"depart",72,"A103",6,0,1,9,84674
2016-02-04 18:57:20,"arrive",75,"E010",7,0,1,9,84692
2016-02-04 18:57:40,"arrive",76,"A106",8,0,1,9,84832
2016-02-04 18:59:00,"depart",73,"A104",7,0,1,9,85472
2016-02-04 18:59:12,"depart",71,"A102",6,0,1,9,85556
2016-02-04 18:59:38,"arrive",77,"A107",7,0,1,9,85712
2016-02-04 18:59:43,"depart",76,"A106",6,0,1,9,85747
2016-02-04 19:00:40,"arrive",78,"A108",7,0,1,9,86089
2016-02-04 19:00:51,"depart",70,"A101",6,0,1,9,86166
2016-02-04 19:05:29,"arrive",79,"A109",7,0,1,9,87834
2016-02-04 19:05:40,"arrive",80,"A110",8,0,1,9,87911
2016-02-04 19:06:25,"depart",74,"A105",7,0,1,9,88271
