"round";"time";"type";"clientNum";"chamada";"busyServers";"queueSize";"numDelayed";"numServed";"cumD";"cumQ";"cumB"
1;2016-06-01 18:00:00;"start";0;"";7;1;0;0;0;0;0
1;2016-06-01 18:00:52;"arrive";1;"A";8;1;0;0;0;52;364
1;2016-06-01 18:01:54;"arrive";2;"A";9;1;0;0;0;114;860
1;2016-06-01 18:02:03;"arrive";3;"A";9;2;0;0;0;123;941
1;2016-06-01 18:02:38;"depart";1;"A";9;1;1;1;158;193;1256
1;2016-06-01 18:02:40;"depart";-2;"I";9;0;2;2;195;195;1274
1;2016-06-01 18:02:43;"depart";-5;"I";8;0;2;3;195;195;1301
1;2016-06-01 18:02:48;"depart";2;"A";7;0;2;4;195;195;1341
1;2016-06-01 18:02:48;"depart";-6;"I";6;0;2;5;195;195;1341
1;2016-06-01 18:02:49;"depart";-8;"I";5;0;2;6;195;195;1347
1;2016-06-01 18:03:41;"arrive";4;"A";6;0;2;6;195;195;1607
1;2016-06-01 18:04:00;"arrive";5;"A";7;0;2;6;195;195;1721
1;2016-06-01 18:04:10;"arrive";6;"A";8;0;2;6;195;195;1791
1;2016-06-01 18:04:51;"depart";-3;"I";7;0;2;7;195;195;2119
1;2016-06-01 18:05:07;"depart";-7;"I";6;0;2;8;195;195;2231
1;2016-06-01 18:05:26;"depart";4;"A";5;0;2;9;195;195;2345
1;2016-06-01 18:06:18;"depart";3;"A";4;0;2;10;195;195;2605
1;2016-06-01 18:06:38;"depart";-1;"I";3;0;2;11;195;195;2685
1;2016-06-01 18:06:56;"depart";-4;"I";2;0;2;12;195;195;2739
1;2016-06-01 18:07:17;"arrive";7;"A";3;0;2;12;195;195;2781
1;2016-06-01 18:07:46;"arrive";8;"A";4;0;2;12;195;195;2868
1;2016-06-01 18:08:40;"arrive";9;"A";5;0;2;12;195;195;3084
1;2016-06-01 18:09:41;"arrive";10;"AP";6;0;2;12;195;195;3389
1;2016-06-01 18:10:00;"arrive";11;"A";7;0;2;12;195;195;3503
1;2016-06-01 18:10:10;"depart";8;"A";6;0;2;13;195;195;3573
1;2016-06-01 18:10:40;"arrive";12;"A";7;0;2;13;195;195;3753
1;2016-06-01 18:10:54;"arrive";13;"A";8;0;2;13;195;195;3851
1;2016-06-01 18:11:40;"depart";13;"A";7;0;2;14;195;195;4219
1;2016-06-01 18:11:40;"depart";11;"A";6;0;2;15;195;195;4219
1;2016-06-01 18:12:10;"depart";9;"A";5;0;2;16;195;195;4399
1;2016-06-01 18:12:41;"depart";5;"A";4;0;2;17;195;195;4554
1;2016-06-01 18:13:08;"arrive";14;"A";5;0;2;17;195;195;4662
1;2016-06-01 18:13:27;"arrive";15;"A";6;0;2;17;195;195;4757
1;2016-06-01 18:13:59;"depart";6;"A";5;0;2;18;195;195;4949
1;2016-06-01 18:14:35;"depart";12;"A";4;0;2;19;195;195;5129
1;2016-06-01 18:15:06;"arrive";16;"A";5;0;2;19;195;195;5253
1;2016-06-01 18:15:48;"arrive";17;"A";6;0;2;19;195;195;5463
1;2016-06-01 18:15:50;"arrive";18;"A";7;0;2;19;195;195;5475
1;2016-06-01 18:16:33;"depart";16;"A";6;0;2;20;195;195;5776
1;2016-06-01 18:18:22;"arrive";19;"A";7;0;2;20;195;195;6430
1;2016-06-01 18:18:36;"depart";10;"AP";6;0;2;21;195;195;6528
1;2016-06-01 18:18:46;"arrive";20;"A";7;0;2;21;195;195;6588
1;2016-06-01 18:20:08;"depart";15;"A";6;0;2;22;195;195;7162
1;2016-06-01 18:23:54;"depart";19;"A";5;0;2;23;195;195;8518
1;2016-06-01 18:23:54;"depart";14;"A";4;0;2;24;195;195;8518
1;2016-06-01 18:24:04;"arrive";21;"A";5;0;2;24;195;195;8558
1;2016-06-01 18:24:18;"depart";18;"A";4;0;2;25;195;195;8628
1;2016-06-01 18:24:22;"arrive";22;"A";5;0;2;25;195;195;8644
1;2016-06-01 18:24:50;"depart";22;"A";4;0;2;26;195;195;8784
1;2016-06-01 18:25:10;"arrive";23;"A";5;0;2;26;195;195;8864
1;2016-06-01 18:26:57;"arrive";24;"A";6;0;2;26;195;195;9399
1;2016-06-01 18:27:07;"arrive";25;"A";7;0;2;26;195;195;9459
1;2016-06-01 18:27:21;"depart";7;"A";6;0;2;27;195;195;9557
1;2016-06-01 18:27:37;"depart";21;"A";5;0;2;28;195;195;9653
1;2016-06-01 18:28:10;"arrive";26;"A";6;0;2;28;195;195;9818
1;2016-06-01 18:28:37;"depart";23;"A";5;0;2;29;195;195;9980
1;2016-06-01 18:28:50;"arrive";27;"A";6;0;2;29;195;195;10045
1;2016-06-01 18:28:52;"arrive";28;"A";7;0;2;29;195;195;10057
1;2016-06-01 18:29:04;"arrive";29;"A";8;0;2;29;195;195;10141
1;2016-06-01 18:29:31;"arrive";30;"A";9;0;2;29;195;195;10357
1;2016-06-01 18:29:40;"depart";24;"A";8;0;2;30;195;195;10438
1;2016-06-01 18:29:40;"arrive";31;"A";9;0;2;30;195;195;10438
1;2016-06-01 18:29:56;"arrive";32;"A";9;1;2;30;195;195;10582
1;2016-06-01 18:30:04;"depart";26;"A";9;0;3;31;203;203;10654
1;2016-06-01 18:30:16;"arrive";33;"A";9;1;3;31;203;203;10762
1;2016-06-01 18:30:20;"depart";20;"A";9;0;4;32;207;207;10798
1;2016-06-01 18:30:33;"arrive";34;"A";9;1;4;32;207;207;10915
1;2016-06-01 18:30:38;"arrive";35;"A";9;2;4;32;207;212;10960
1;2016-06-01 18:31:19;"depart";33;"A";9;1;5;33;253;294;11329
1;2016-06-01 18:31:24;"arrive";36;"A";9;2;5;33;253;299;11374
1;2016-06-01 18:31:35;"arrive";37;"A";9;3;5;33;253;321;11473
1;2016-06-01 18:31:50;"arrive";38;"A";9;4;5;33;253;366;11608
1;2016-06-01 18:32:03;"depart";27;"A";9;3;6;34;338;418;11725
1;2016-06-01 18:32:17;"depart";35;"A";9;2;7;35;391;460;11851
