"round";"time";"type";"clientNum";"chamada";"busyServers";"queueSize";"numDelayed";"cumQ";"cumB"
1;2016-05-30 18:00:00;"start";0;"";4;0;0;0;0
1;2016-05-30 18:00:10;"arrive";1;"A";5;0;0;0;40
1;2016-05-30 18:00:22;"arrive";2;"A";6;0;0;0;100
1;2016-05-30 18:01:18;"depart";2;"A";5;0;0;0;436
1;2016-05-30 18:01:23;"depart";-4;"I";4;0;0;0;461
1;2016-05-30 18:01:48;"arrive";3;"A";5;0;0;0;561
1;2016-05-30 18:01:58;"arrive";4;"A";6;0;0;0;611
1;2016-05-30 18:02:45;"depart";1;"A";5;0;0;0;893
1;2016-05-30 18:03:36;"arrive";5;"A";6;0;0;0;1148
1;2016-05-30 18:03:40;"arrive";6;"A";7;0;0;0;1172
1;2016-05-30 18:03:45;"arrive";7;"A";8;0;0;0;1207
1;2016-05-30 18:04:18;"arrive";8;"A";9;0;0;0;1471
1;2016-05-30 18:05:15;"depart";6;"A";8;0;0;0;1984
1;2016-05-30 18:05:17;"arrive";9;"A";9;0;0;0;2000
1;2016-05-30 18:06:09;"depart";-2;"I";8;0;0;0;2468
1;2016-05-30 18:06:16;"depart";-1;"I";7;0;0;0;2524
1;2016-05-30 18:06:29;"arrive";10;"A";8;0;0;0;2615
1;2016-05-30 18:06:49;"arrive";11;"A";9;0;0;0;2775
1;2016-05-30 18:07:38;"depart";4;"A";8;0;0;0;3216
1;2016-05-30 18:07:46;"arrive";12;"A";9;0;0;0;3280
1;2016-05-30 18:07:50;"depart";-3;"I";8;0;0;0;3316
1;2016-05-30 18:08:29;"depart";12;"A";7;0;0;0;3628
1;2016-05-30 18:08:52;"arrive";13;"A";8;0;0;0;3789
1;2016-05-30 18:09:02;"arrive";14;"A";9;0;0;0;3869
1;2016-05-30 18:09:19;"arrive";15;"A";9;1;1;0;4022
1;2016-05-30 18:10:57;"depart";8;"A";9;0;1;98;4904
1;2016-05-30 18:11:46;"depart";5;"A";8;0;1;98;5345
1;2016-05-30 18:11:57;"arrive";16;"A";9;0;1;98;5433
1;2016-05-30 18:12:07;"depart";9;"A";8;0;1;98;5523
1;2016-05-30 18:13:34;"depart";16;"A";7;0;1;98;6219
1;2016-05-30 18:14:31;"depart";3;"A";6;0;1;98;6618
1;2016-05-30 18:16:13;"depart";15;"A";5;0;1;98;7230
1;2016-05-30 18:16:35;"depart";14;"A";4;0;1;98;7340
1;2016-05-30 18:17:36;"depart";11;"A";3;0;1;98;7584
1;2016-05-30 18:19:36;"depart";7;"A";2;0;1;98;7944
1;2016-05-30 18:22:56;"arrive";17;"A";3;0;1;98;8344
1;2016-05-30 18:23:05;"depart";10;"A";2;0;1;98;8371
1;2016-05-30 18:23:26;"arrive";18;"A";3;0;1;98;8413
1;2016-05-30 18:23:32;"arrive";19;"A";4;0;1;98;8431
1;2016-05-30 18:24:05;"arrive";20;"A";5;0;1;98;8563
1;2016-05-30 18:24:24;"arrive";21;"A";6;0;1;98;8658
1;2016-05-30 18:24:25;"depart";17;"A";5;0;1;98;8664
1;2016-05-30 18:25:12;"arrive";22;"A";6;0;1;98;8899
1;2016-05-30 18:25:31;"arrive";23;"A";7;0;1;98;9013
1;2016-05-30 18:26:03;"depart";19;"A";6;0;1;98;9237
1;2016-05-30 18:26:04;"depart";21;"A";5;0;1;98;9243
1;2016-05-30 18:28:51;"arrive";24;"A";6;0;1;98;10078
1;2016-05-30 18:28:54;"depart";23;"A";5;0;1;98;10096
1;2016-05-30 18:30:54;"depart";20;"A";4;0;1;98;10696
1;2016-05-30 18:32:21;"depart";24;"A";3;0;1;98;11044
1;2016-05-30 18:32:55;"depart";22;"A";2;0;1;98;11146
1;2016-05-30 18:40:52;"depart";18;"A";1;0;1;98;12100
1;2016-05-30 18:41:26;"arrive";25;"A";2;0;1;98;12134
1;2016-05-30 18:43:04;"arrive";26;"A";3;0;1;98;12330
1;2016-05-30 18:43:21;"arrive";27;"A";4;0;1;98;12381
1;2016-05-30 18:45:08;"arrive";28;"AP";5;0;1;98;12809
1;2016-05-30 18:45:32;"arrive";29;"A";6;0;1;98;12929
1;2016-05-30 18:45:53;"depart";25;"A";5;0;1;98;13055
1;2016-05-30 18:46:00;"arrive";30;"A";6;0;1;98;13090
1;2016-05-30 18:46:29;"arrive";31;"A";7;0;1;98;13264
1;2016-05-30 18:46:44;"depart";27;"A";6;0;1;98;13369
1;2016-05-30 18:47:27;"arrive";32;"A";7;0;1;98;13627
1;2016-05-30 18:47:44;"arrive";33;"A";8;0;1;98;13746
1;2016-05-30 18:47:48;"depart";30;"A";7;0;1;98;13778
1;2016-05-30 18:47:57;"arrive";34;"A";8;0;1;98;13841
1;2016-05-30 18:48:03;"arrive";35;"A";9;0;1;98;13889
1;2016-05-30 18:48:52;"arrive";36;"A";9;1;2;98;14330
1;2016-05-30 18:49:36;"depart";28;"AP";9;0;2;142;14726
1;2016-05-30 18:50:19;"arrive";37;"A";9;1;3;142;15113
1;2016-05-30 18:51:48;"depart";34;"A";9;0;3;231;15914
1;2016-05-30 18:51:57;"arrive";38;"A";9;1;4;231;15995
1;2016-05-30 18:52:05;"depart";36;"A";9;0;4;239;16067
1;2016-05-30 18:53:36;"arrive";39;"A";9;1;5;239;16886
1;2016-05-30 18:53:39;"arrive";40;"A";9;2;6;242;16913
1;2016-05-30 18:54:19;"depart";35;"A";9;1;6;322;17273
1;2016-05-30 18:54:45;"depart";31;"A";9;0;6;348;17507
1;2016-05-30 18:55:25;"arrive";41;"A";9;1;7;348;17867
1;2016-05-30 18:55:47;"depart";32;"A";9;0;7;370;18065
1;2016-05-30 18:55:49;"arrive";42;"A";9;1;8;370;18083
1;2016-05-30 18:56:03;"depart";33;"A";9;0;8;384;18209
1;2016-05-30 18:56:20;"arrive";43;"AP";9;1;9;384;18362
1;2016-05-30 18:57:02;"depart";41;"A";9;0;9;426;18740
1;2016-05-30 18:57:16;"arrive";44;"A";9;1;10;426;18866
1;2016-05-30 18:57:24;"depart";38;"A";9;0;10;434;18938
1;2016-05-30 18:57:29;"arrive";45;"A";9;1;11;434;18983
1;2016-05-30 18:57:32;"arrive";46;"A";9;2;12;437;19010
1;2016-05-30 19:01:22;"arrive";47;"A";9;3;13;897;21080
2;2016-05-30 18:00:00;"start";0;"";4;0;0;0;0
2;2016-05-30 18:03:50;"arrive";1;"A";5;0;0;0;920
2;2016-05-30 18:03:52;"depart";-1;"I";4;0;0;0;930
2;2016-05-30 18:04:02;"arrive";2;"A";5;0;0;0;970
2;2016-05-30 18:04:14;"depart";-4;"I";4;0;0;0;1030
2;2016-05-30 18:04:20;"arrive";3;"A";5;0;0;0;1054
2;2016-05-30 18:04:25;"depart";-2;"I";4;0;0;0;1079
2;2016-05-30 18:05:57;"depart";3;"A";3;0;0;0;1447
2;2016-05-30 18:06:31;"arrive";4;"A";4;0;0;0;1549
2;2016-05-30 18:06:34;"depart";1;"A";3;0;0;0;1561
2;2016-05-30 18:07:03;"arrive";5;"A";4;0;0;0;1648
2;2016-05-30 18:07:11;"arrive";6;"A";5;0;0;0;1680
2;2016-05-30 18:07:21;"depart";-3;"I";4;0;0;0;1730
2;2016-05-30 18:07:55;"arrive";7;"A";5;0;0;0;1866
2;2016-05-30 18:08:16;"arrive";8;"A";6;0;0;0;1971
2;2016-05-30 18:09:24;"depart";7;"A";5;0;0;0;2379
2;2016-05-30 18:09:43;"arrive";9;"A";6;0;0;0;2474
2;2016-05-30 18:09:46;"arrive";10;"A";7;0;0;0;2492
2;2016-05-30 18:10:03;"depart";4;"A";6;0;0;0;2611
2;2016-05-30 18:10:07;"arrive";11;"A";7;0;0;0;2635
2;2016-05-30 18:10:21;"arrive";12;"A";8;0;0;0;2733
2;2016-05-30 18:10:59;"arrive";13;"A";9;0;0;0;3037
2;2016-05-30 18:11:53;"arrive";14;"A";9;1;1;0;3523
2;2016-05-30 18:13:24;"depart";9;"A";9;0;1;91;4342
2;2016-05-30 18:13:32;"depart";10;"A";8;0;1;91;4414
2;2016-05-30 18:13:47;"depart";13;"A";7;0;1;91;4534
2;2016-05-30 18:14:27;"depart";14;"A";6;0;1;91;4814
2;2016-05-30 18:15:53;"depart";6;"A";5;0;1;91;5330
2;2016-05-30 18:18:25;"arrive";15;"A";6;0;1;91;6090
2;2016-05-30 18:18:32;"depart";5;"A";5;0;1;91;6132
2;2016-05-30 18:19:03;"depart";12;"A";4;0;1;91;6287
2;2016-05-30 18:19:03;"arrive";16;"A";5;0;1;91;6287
2;2016-05-30 18:19:36;"arrive";17;"A";6;0;1;91;6452
2;2016-05-30 18:19:46;"arrive";18;"A";7;0;1;91;6512
2;2016-05-30 18:19:51;"arrive";19;"A";8;0;1;91;6547
2;2016-05-30 18:20:32;"depart";19;"A";7;0;1;91;6875
2;2016-05-30 18:22:54;"depart";15;"A";6;0;1;91;7869
2;2016-05-30 18:24:02;"depart";16;"A";5;0;1;91;8277
2;2016-05-30 18:24:11;"depart";8;"A";4;0;1;91;8322
2;2016-05-30 18:24:29;"depart";18;"A";3;0;1;91;8394
2;2016-05-30 18:25:39;"depart";2;"A";2;0;1;91;8604
2;2016-05-30 18:27:34;"depart";17;"A";1;0;1;91;8834
2;2016-05-30 18:29:16;"arrive";20;"A";2;0;1;91;8936
2;2016-05-30 18:29:45;"arrive";21;"A";3;0;1;91;8994
2;2016-05-30 18:30:01;"arrive";22;"A";4;0;1;91;9042
2;2016-05-30 18:30:16;"depart";20;"A";3;0;1;91;9102
2;2016-05-30 18:30:23;"arrive";23;"A";4;0;1;91;9123
2;2016-05-30 18:30:31;"arrive";24;"A";5;0;1;91;9155
2;2016-05-30 18:30:38;"depart";23;"A";4;0;1;91;9190
2;2016-05-30 18:31:08;"arrive";25;"A";5;0;1;91;9310
2;2016-05-30 18:31:34;"depart";25;"A";4;0;1;91;9440
2;2016-05-30 18:31:34;"arrive";26;"A";5;0;1;91;9440
2;2016-05-30 18:32:35;"depart";26;"A";4;0;1;91;9745
2;2016-05-30 18:33:20;"depart";22;"A";3;0;1;91;9925
2;2016-05-30 18:33:43;"depart";21;"A";2;0;1;91;9994
2;2016-05-30 18:34:38;"arrive";27;"A";3;0;1;91;10104
2;2016-05-30 18:34:47;"arrive";28;"A";4;0;1;91;10131
2;2016-05-30 18:35:00;"arrive";29;"A";5;0;1;91;10183
2;2016-05-30 18:36:43;"arrive";30;"A";6;0;1;91;10698
2;2016-05-30 18:37:16;"arrive";31;"A";7;0;1;91;10896
2;2016-05-30 18:37:30;"arrive";32;"A";8;0;1;91;10994
2;2016-05-30 18:38:43;"depart";27;"A";7;0;1;91;11578
2;2016-05-30 18:39:06;"depart";28;"A";6;0;1;91;11739
2;2016-05-30 18:39:24;"arrive";33;"A";7;0;1;91;11847
2;2016-05-30 18:40:06;"depart";31;"A";6;0;1;91;12141
2;2016-05-30 18:40:16;"arrive";34;"A";7;0;1;91;12201
2;2016-05-30 18:40:42;"depart";24;"A";6;0;1;91;12383
2;2016-05-30 18:42:49;"depart";33;"A";5;0;1;91;13145
2;2016-05-30 18:45:06;"arrive";35;"A";6;0;1;91;13830
2;2016-05-30 18:45:07;"depart";34;"A";5;0;1;91;13836
2;2016-05-30 18:45:33;"depart";32;"A";4;0;1;91;13966
2;2016-05-30 18:46:09;"depart";29;"A";3;0;1;91;14110
2;2016-05-30 18:46:19;"arrive";36;"A";4;0;1;91;14140
2;2016-05-30 18:46:49;"arrive";37;"A";5;0;1;91;14260
2;2016-05-30 18:48:20;"depart";35;"A";4;0;1;91;14715
2;2016-05-30 18:48:33;"arrive";38;"A";5;0;1;91;14767
2;2016-05-30 18:48:47;"arrive";39;"A";6;0;1;91;14837
2;2016-05-30 18:49:56;"arrive";40;"A";7;0;1;91;15251
2;2016-05-30 18:51:36;"arrive";41;"A";8;0;1;91;15951
2;2016-05-30 18:52:10;"depart";36;"A";7;0;1;91;16223
2;2016-05-30 18:52:41;"depart";38;"A";6;0;1;91;16440
2;2016-05-30 18:53:46;"depart";37;"A";5;0;1;91;16830
2;2016-05-30 18:55:59;"depart";41;"A";4;0;1;91;17495
2;2016-05-30 18:57:30;"arrive";42;"A";5;0;1;91;17859
2;2016-05-30 18:57:32;"depart";42;"A";4;0;1;91;17869
2;2016-05-30 19:01:46;"arrive";43;"A";5;0;1;91;18885
3;2016-05-30 18:00:00;"start";0;"";4;0;0;0;0
3;2016-05-30 18:00:57;"arrive";1;"A";5;0;0;0;228
3;2016-05-30 18:02:28;"arrive";2;"A";6;0;0;0;683
3;2016-05-30 18:02:33;"arrive";3;"A";7;0;0;0;713
3;2016-05-30 18:02:36;"depart";-4;"I";6;0;0;0;734
3;2016-05-30 18:04:06;"arrive";4;"A";7;0;0;0;1274
3;2016-05-30 18:04:18;"depart";-3;"I";6;0;0;0;1358
3;2016-05-30 18:04:27;"arrive";5;"A";7;0;0;0;1412
3;2016-05-30 18:04:56;"depart";-2;"I";6;0;0;0;1615
3;2016-05-30 18:05:46;"arrive";6;"A";7;0;0;0;1915
3;2016-05-30 18:06:30;"arrive";7;"A";8;0;0;0;2223
3;2016-05-30 18:06:36;"arrive";8;"A";9;0;0;0;2271
3;2016-05-30 18:06:37;"depart";6;"A";8;0;0;0;2280
3;2016-05-30 18:07:01;"arrive";9;"A";9;0;0;0;2472
3;2016-05-30 18:07:14;"arrive";10;"A";9;1;1;0;2589
3;2016-05-30 18:07:32;"arrive";11;"A";9;2;2;18;2751
3;2016-05-30 18:08:30;"depart";1;"A";9;1;2;134;3273
3;2016-05-30 18:08:37;"depart";-1;"I";9;0;2;141;3336
3;2016-05-30 18:08:39;"arrive";12;"A";9;1;3;141;3354
3;2016-05-30 18:10:02;"arrive";13;"A";9;2;4;224;4101
3;2016-05-30 18:10:27;"depart";10;"A";9;1;4;274;4326
3;2016-05-30 18:11:09;"depart";7;"A";9;0;4;316;4704
3;2016-05-30 18:11:13;"arrive";14;"A";9;1;5;316;4740
3;2016-05-30 18:11:16;"depart";8;"A";9;0;5;319;4767
3;2016-05-30 18:12:08;"depart";14;"A";8;0;5;319;5235
3;2016-05-30 18:12:25;"depart";11;"A";7;0;5;319;5371
3;2016-05-30 18:14:28;"depart";9;"A";6;0;5;319;6232
3;2016-05-30 18:14:58;"depart";13;"A";5;0;5;319;6412
