"servers";"round";"time";"type";"clientNum";"chamada";"busyServers";"queueSize";"numDelayed";"numServed";"cumD";"cumQ";"cumB"
15;1;2016-06-06 18:00:00;"start";0;"";7;0;0;0;0;0;0
15;1;2016-06-06 18:00:07;"arrive";1;"A";8;0;0;0;0;0;49,3948004245758
15;1;2016-06-06 18:00:21;"arrive";2;"A";9;0;0;0;0;0;161,846000909805
15;1;2016-06-06 18:00:30;"arrive";3;"A";10;0;0;0;0;0;243,353601455688
15;1;2016-06-06 18:00:56;"depart";-6;"I";9;0;0;1;0;0;501,661599636078
15;1;2016-06-06 18:01:36;"arrive";4;"A";10;0;0;1;0;0;863,692001819611
15;1;2016-06-06 18:01:42;"arrive";5;"A";11;0;0;1;0;0;924,256002426147
15;1;2016-06-06 18:01:51;"depart";-5;"I";10;0;0;2;0;0;1020,15399909019
15;1;2016-06-06 18:02:01;"arrive";6;"A";11;0;0;2;0;0;1123,53800272942
15;1;2016-06-06 18:02:22;"arrive";7;"A";12;0;0;2;0;0;1355,15840339661
15;1;2016-06-06 18:02:33;"arrive";8;"A";13;0;0;2;0;0;1487,83520412445
15;1;2016-06-06 18:03:26;"arrive";9;"A";14;0;0;2;0;0;2177,56840491295
15;1;2016-06-06 18:03:34;"arrive";10;"A";15;0;0;2;0;0;2290,3580057621
15;1;2016-06-06 18:04:15;"depart";6;"A";14;0;0;3;0;0;2901,97400212288
15;1;2016-06-06 18:04:44;"depart";-1;"I";13;0;0;4;0;0;3303,23639702797
15;1;2016-06-06 18:05:39;"arrive";11;"A";14;0;0;4;0;0;4026,30160570145
15;1;2016-06-06 18:05:51;"depart";5;"A";13;0;0;5;0;0;4189,56400060654
15;1;2016-06-06 18:06:07;"depart";10;"A";12;0;0;6;0;0;4401,23000454903
15;1;2016-06-06 18:06:27;"depart";-2;"I";11;0;0;7;0;0;4634,46199727058
15;1;2016-06-06 18:06:28;"depart";-4;"I";10;0;0;8;0;0;4645,46199727058
15;1;2016-06-06 18:06:46;"depart";-3;"I";9;0;0;9;0;0;4825,46199727058
15;1;2016-06-06 18:07:13;"arrive";12;"A";10;0;0;9;0;0;5074,55320382118
15;1;2016-06-06 18:07:16;"depart";3;"A";9;0;0;10;0;0;5099,47719836235
15;1;2016-06-06 18:07:16;"arrive";13;"A";10;0;0;10;0;0;5104,55320382118
15;1;2016-06-06 18:07:44;"depart";8;"A";9;0;0;11;0;0;5381,7332007885
15;1;2016-06-06 18:08:15;"arrive";14;"A";10;0;0;11;0;0;5663,7788040638
15;1;2016-06-06 18:08:27;"arrive";15;"A";11;0;0;11;0;0;5784,34280467033
15;1;2016-06-06 18:08:30;"arrive";16;"A";12;0;0;11;0;0;5817,96320533752
15;1;2016-06-06 18:08:50;"arrive";17;"A";13;0;0;11;0;0;6058,64000606537
15;1;2016-06-06 18:08:57;"arrive";18;"A";14;0;0;11;0;0;6137,37320685387
15;1;2016-06-06 18:09:04;"arrive";19;"A";15;0;0;11;0;0;6236,16280770302
15;1;2016-06-06 18:09:05;"depart";9;"A";14;0;0;12;0;0;6257,70279860497
15;1;2016-06-06 18:09:18;"depart";11;"A";13;0;0;13;0;0;6441,28200030327
15;1;2016-06-06 18:10:58;"depart";13;"A";12;0;0;14;0;0;7742,74840188026
15;1;2016-06-06 18:11:57;"arrive";20;"A";13;0;0;14;0;0;8443,48600697517
15;1;2016-06-06 18:12:14;"depart";7;"A";12;0;0;15;0;0;8667,9543967247
15;1;2016-06-06 18:12:15;"depart";4;"A";11;0;0;16;0;0;8677,92399454117
15;1;2016-06-06 18:12:18;"depart";14;"A";10;0;0;17;0;0;8717,12800121307
15;1;2016-06-06 18:12:22;"arrive";21;"A";11;0;0;17;0;0;8751,07600545883
15;1;2016-06-06 18:12:35;"depart";12;"A";10;0;0;18;0;0;8899,49239945412
15;1;2016-06-06 18:13:07;"arrive";22;"A";11;0;0;18;0;0;9215,13240551949
15;1;2016-06-06 18:13:17;"arrive";23;"A";12;0;0;18;0;0;9325,75280618668
15;1;2016-06-06 18:13:17;"depart";17;"A";11;0;0;19;0;0;9333,69200181961
15;1;2016-06-06 18:13:45;"arrive";24;"A";12;0;0;19;0;0;9635,03480648994
15;1;2016-06-06 18:14:00;"depart";19;"A";11;0;0;20;0;0;9811,65080285072
15;1;2016-06-06 18:14:35;"arrive";25;"A";12;0;0;20;0;0;10200,3732068539
15;1;2016-06-06 18:14:53;"arrive";26;"A";13;0;0;20;0;0;10417,0500075817
15;1;2016-06-06 18:15:29;"depart";-7;"I";12;0;0;21;0;0;10878,9867870808
15;1;2016-06-06 18:15:34;"depart";22;"A";11;0;0;22;0;0;10941,8764030933
15;1;2016-06-06 18:15:43;"depart";2;"A";10;0;0;23;0;0;11039,4683897495
15;1;2016-06-06 18:15:59;"arrive";27;"A";11;0;0;23;0;0;11203,5684049129
15;1;2016-06-06 18:16:10;"depart";23;"A";10;0;0;24;0;0;11322,0868022442
15;1;2016-06-06 18:16:26;"arrive";28;"A";11;0;0;24;0;0;11484,9068052769
15;1;2016-06-06 18:16:33;"depart";20;"A";10;0;0;25;0;0;11556,9435999393
15;1;2016-06-06 18:16:51;"arrive";29;"A";11;0;0;25;0;0;11742,0196053982
15;1;2016-06-06 18:16:59;"arrive";30;"A";12;0;0;25;0;0;11830,6400060654
15;1;2016-06-06 18:18:08;"depart";15;"A";11;0;0;26;0;0;12660,4879951477
15;1;2016-06-06 18:18:24;"depart";26;"A";10;0;0;27;0;0;12832,3124024868
15;1;2016-06-06 18:18:28;"arrive";31;"A";11;0;0;27;0;0;12875,1324055195
15;1;2016-06-06 18:18:32;"depart";1;"A";10;0;0;28;0;0;12911,5203855038
15;1;2016-06-06 18:18:41;"arrive";32;"A";11;0;0;28;0;0;13009,0044043064
15;1;2016-06-06 18:18:54;"arrive";33;"A";12;0;0;28;0;0;13152,6248049736
15;1;2016-06-06 18:18:58;"arrive";34;"A";13;0;0;28;0;0;13201,3016057014
15;1;2016-06-06 18:19:02;"arrive";35;"A";14;0;0;28;0;0;13254,0348064899
15;1;2016-06-06 18:19:03;"depart";21;"A";13;0;0;29;0;0;13256,9803946018
15;1;2016-06-06 18:19:51;"depart";16;"A";12;0;0;30;0;0;13890,3143906593
15;1;2016-06-06 18:19:53;"arrive";36;"A";13;0;0;30;0;0;13903,8504052162
15;1;2016-06-06 18:20:00;"arrive";37;"A";14;0;0;30;0;0;13995,5836060047
15;1;2016-06-06 18:20:26;"depart";25;"A";13;0;0;31;0;0;14364,1083958149
15;1;2016-06-06 18:21:02;"arrive";38;"A";14;0;0;31;0;0;14828,6400060654
15;1;2016-06-06 18:21:07;"arrive";39;"A";15;0;0;31;0;0;14899,4296069145
15;1;2016-06-06 18:22:11;"arrive";40;"A";15;1;0;31;0;0;15860,2756078243
15;1;2016-06-06 18:22:33;"depart";31;"A";15;0;1;32;22,4923994541168;22,4923994541168;16197,6615996361
15;1;2016-06-06 18:22:42;"depart";35;"A";14;0;1;33;22,4923994541168;22,4923994541168;16336,0456032753
15;1;2016-06-06 18:22:51;"arrive";41;"A";15;0;1;33;22,4923994541168;22,4923994541168;16452,7832083702
15;1;2016-06-06 18:23:01;"depart";18;"A";14;0;1;34;22,4923994541168;22,4923994541168;16598,3251874447
15;1;2016-06-06 18:23:22;"arrive";42;"A";15;0;1;34;22,4923994541168;22,4923994541168;16897,2756078243
15;1;2016-06-06 18:23:28;"arrive";43;"A";15;1;1;34;22,4923994541168;22,4923994541168;16988,1216087341
15;1;2016-06-06 18:23:31;"depart";38;"A";15;0;2;35;25,2103991508484;25,2103991508484;17028,8916041851
15;1;2016-06-06 18:23:58;"depart";30;"A";14;0;2;36;25,2103991508484;25,2103991508484;17442,1235969067
