"round";"time";"type";"clientNum";"chamada";"busyServers";"queueSize";"numDelayed";"numServed";"cumD";"cumQ";"cumB"
1;2016-06-04 18:00:00;"start";0;"";6;2;0;0;0;0;0
1;2016-06-04 18:01:28;"arrive";1;"A";6;3;0;0;0;176;528
1;2016-06-04 18:02:38;"depart";-4;"I";6;2;1;1;158;386;948
1;2016-06-04 18:02:39;"arrive";2;"A";6;3;1;1;158;388;954
1;2016-06-04 18:02:52;"arrive";3;"A";6;4;1;1;158;427;1032
1;2016-06-04 18:02:57;"arrive";4;"A";6;5;1;1;158;447;1062
1;2016-06-04 18:02:59;"arrive";5;"A";6;6;1;1;158;457;1074
1;2016-06-04 18:03:13;"arrive";6;"A";6;7;1;1;158;541;1158
1;2016-06-04 18:03:29;"arrive";7;"A";6;8;1;1;158;653;1254
1;2016-06-04 18:03:42;"depart";-8;"I";6;7;2;2;380;757;1332
1;2016-06-04 18:04:51;"depart";-7;"I";6;6;3;3;583;1240;1746
1;2016-06-04 18:05:51;"depart";-6;"I";6;5;4;4;775;1600;2106
1;2016-06-04 18:06:05;"depart";-2;"I";6;4;5;5;968;1670;2190
1;2016-06-04 18:06:31;"arrive";8;"A";6;5;5;5;968;1774;2346
1;2016-06-04 18:06:50;"arrive";9;"A";6;6;5;5;968;1869;2460
1;2016-06-04 18:07:00;"arrive";10;"A";6;7;5;5;968;1929;2520
1;2016-06-04 18:07:13;"arrive";11;"A";6;8;5;5;968;2020;2598
1;2016-06-04 18:07:21;"arrive";12;"A";6;9;5;5;968;2084;2646
1;2016-06-04 18:08:35;"depart";-5;"I";6;8;6;6;1306;2750;3090
1;2016-06-04 18:10:05;"arrive";13;"A";6;9;6;6;1306;3470;3630
1;2016-06-04 18:10:51;"depart";4;"A";6;8;7;7;1778;3884;3906
1;2016-06-04 18:12:14;"depart";-1;"I";6;7;8;8;2319;4548;4404
1;2016-06-04 18:12:24;"arrive";14;"A";6;8;8;8;2319;4618;4464
1;2016-06-04 18:13:04;"depart";6;"A";6;7;9;9;2894;4938;4704
1;2016-06-04 18:13:27;"depart";3;"A";6;6;10;10;3310;5099;4842
1;2016-06-04 18:13:39;"depart";1;"A";6;5;11;11;3719;5171;4914
1;2016-06-04 18:14:11;"depart";8;"A";6;4;12;12;4150;5331;5106
1;2016-06-04 18:14:56;"arrive";15;"A";6;5;12;12;4150;5511;5376
1;2016-06-04 18:15:04;"arrive";16;"A";6;6;12;12;4150;5551;5424
1;2016-06-04 18:15:15;"arrive";17;"A";6;7;12;12;4150;5617;5490
1;2016-06-04 18:15:35;"arrive";18;"A";6;8;12;12;4150;5757;5610
