"servers";"round";"QsizeAtStart";"busySrvAtStart";"deltaServed";"avgD";"avgQ";"avgU"
15;1;0;7;86;1,75790694148041;0,0419944436020321;0,688918133364783
15;2;0;7;63;0;0;0,576858000146018
15;3;0;7;69;2,26734487215678;0,0434574433830049;0,602815940821612
15;4;0;7;78;3,60862556481973;0,0781868872377608;0,712144696491736
15;5;0;7;75;18,9510024992625;0,394812552067969;0,743169118620731
15;6;0;7;70;0,551502851077489;0,0107236665487289;0,61195999274872
15;7;0;7;60;0;0;0,551571222239071
15;8;0;7;58;3,10168959765599;0,0499716657400131;0,665550977892346
15;9;0;7;52;0;0;0,444927051932723
15;10;0;7;66;20,4244361357255;0,374447995821635;0,627065755327543
15;11;0;7;80;8,90341489613056;0,197853664358457;0,669530252103452
15;12;0;7;63;0;0;0,595654296442314
15;13;0;7;78;8,09391265954727;0,175368107623524;0,774389533453517
15;14;0;7;81;0;0;0,650157548158257
15;15;0;7;73;0;0;0,626669881564599
15;16;0;7;81;37,3656243012275;0,840726546777619;0,904417415164135
15;17;0;7;78;23,8312405684055;0,60227087908321;0,828600193138476
15;18;0;7;70;0;0;0,618813288927078
15;19;0;7;79;22,2231742973569;0,487675213747554;0,810666874532346
15;20;0;7;75;43,4899407704671;0,906040432718065;0,833791200372908
15;21;0;7;65;0;0;0,571783081566846
15;22;0;7;76;19,7878997294526;0,417744549844;0,726881577769915
15;23;0;7;66;0;0;0,560793444461293
15;24;0;7;75;0;0;0,593486985211019
15;25;0;7;65;28,3356551830585;0,542248661915461;0,617638829699269
15;26;0;7;68;2,28017640815062;0,0430699988206228;0,653876355542077
15;27;0;7;74;20,5690592430733;0,422808439996507;0,754724392674587
15;28;0;7;69;70,7402833890224;1,73489376571443;0,739182667520311
15;29;0;7;77;11,3571529883843;0,244321438935068;0,684788185415445
15;30;0;7;57;0;0;0,516730096344595
15;31;0;7;65;0,830067641918476;0,014987332423528;0,678605688942803
15;32;0;7;88;20,5772998387163;0,503000662724177;0,720178836950549
15;33;0;7;85;5,56592931186452;0,131417775419023;0,720415644592709
15;34;0;7;69;1,0640695406043;0,0203946661949158;0,569029244475895
15;35;0;7;79;0;0;0,626604644497236
15;36;0;7;51;0;0;0,556713466776742
15;37;0;7;58;0;0;0,503879851941709
15;38;0;7;61;0,692898347729542;0,0117407775587506;0,472383103657652
15;39;0;7;82;18,4041559289141;0,419205773936378;0,785890333215396
15;40;0;7;78;28,2721995482078;0,612564323544502;0,866855948072893
15;41;0;7;63;0;0;0,567528763033726
15;42;0;7;66;4,6488847804792;0,0852295543087853;0,582223629730719
15;43;0;7;77;28,5339010907458;0,610308439996507;0,747657911221186
15;44;0;7;75;0,91097599029541;0,0189786664644877;0,607483570372617
15;45;0;7;83;8,27775884249124;0,190848328868548;0,720043948275072
15;46;0;7;62;0,87593545452241;0,0150855550501082;0,545362296307528
15;47;0;7;82;26,526843446057;0,604222545160188;0,743251821835836
15;48;0;7;77;0,173028561976049;0,00370088868670993;0,679834459340131
15;49;0;7;74;2,35170267401515;0,092084221177631;0,661797903745263
15;50;0;7;78;0,810389732703184;0,017558444208569;0,779839881508439
15;51;0;7;74;4,37679453476055;0,0899674432145225;0,708108903840736
15;52;0;7;76;7,80671034674895;0,229586549136374;0,836083184657273
15;53;0;7;65;9,58187678777255;0,173006108668115;0,612767614823801
15;54;0;7;67;2,26674625055114;0,0421866663297017;0,583394474179656
15;55;0;7;78;45,9556918877822;1,18475821150674;0,724093437097691
15;56;0;7;69;0,979565195415331;0,0187749995787938;0,581632000022464
15;57;0;6;61;0,0891147441551334;0,00150999983151754;0,589913674080813
15;58;0;7;88;17,1930042153055;0,420273436374135;0,855666577180227
15;59;0;7;83;28,7202213988247;0,662160660028458;0,819315177877744
15;60;0;7;85;66,3650718408472;1,56695308513112;0,945710170317579
15;61;0;7;58;0;0;0,5511653407194
15;62;0;7;61;0,186550808734581;0,00316099981466929;0,531513940855309
15;63;0;7;80;61,1754190325737;1,48505264163017;0,862055555555556
15;64;0;7;72;17,3586052093241;0,347172104186482;0,656412911136945
15;65;0;7;71;0;0;0,64596408896976
15;66;0;7;79;0;0;0,616886318555585
15;67;0;7;67;9,83500877778922;0,269757106966443;0,659231703793561
15;68;0;7;69;6,77415063761283;0,129837887220912;0,644937941012559
15;69;0;7;85;0;0;0,784816377520561
15;70;0;7;74;5,23265934634853;0,107560219897164;0,604413755642043
15;71;0;7;72;3,32700548900498;0,0665401097800997;0,655095644368066
15;72;0;7;62;0,809354789795414;0,0139388880464766;0,578992244256867
15;73;0;7;61;0,10365900446157;0,00175644424226549;0,551673014901302
15;74;0;7;65;0,418621525397668;0,007558444208569;0,653760466827287
15;75;0;7;79;16,324526454829;0,358232663869858;0,706610829609412
15;76;0;7;70;0,106228562763759;0,00206555538707309;0,601624407401791
15;77;0;7;67;12,180978881779;0,236126106646326;0,641911385249209
15;78;0;7;63;0;0;0,542179681455648
15;79;0;7;66;0;0;0,605381177888976
15;80;0;7;70;0;0;0,692021851795691
15;81;0;7;100;42,7139990901947;1,18649997472763;0,921902703439748
15;82;0;7;84;2,62547608216604;0,0612611085838742;0,754174340848569
15;83;0;7;73;3,66210953503439;0,0742594433493084;0,697679118452249
15;84;0;7;65;0;0;0,527493451824895
15;85;0;7;71;5,83901962092225;0,115158442523744;0,606502370392835
15;86;0;7;72;9,13804438379076;0,182760887675815;0,713956777850787
15;87;0;7;75;2,69437324841817;0,0561327760087119;0,627732748239129
15;88;0;7;55;0;0;0,452548325997812
15;89;0;7;70;11,0529884440558;0,21491921974553;0,630652407491649
15;90;0;7;82;5,03523400062468;0,11469144112534;0,715817666649818
15;91;0;7;64;2,44624369218946;0,0434887767500348;0,632211296324377
15;92;0;7;54;0;0;0,451805977808105
15;93;0;7;86;13,6803671731505;0,326808771358596;0,833613844566875
15;94;0;7;64;2,05985624715686;0,0366196666161219;0,589651281484851
15;95;0;7;68;1,75889999375624;0,0332236665487289;0,614885837113416
15;96;0;7;70;46,10145107678;0,942066659927368;0,685138837624479
15;97;0;7;48;0;0;0,476866674030269
15;98;0;7;72;0,84444996714592;0,0168889993429184;0,624233511182997
15;99;0;7;66;0;0;0,517488792600455
15;100;0;7;68;3,85884107211057;0,0948493313789368;0,645002333574825
