"date","QsizeAtStart","busySrvAtStart","deltaServed","avgD","avgQ","avgU","minTime","maxTime"
"16-02-03",0,2,4,0,0,0.0976851851851852,2016-02-03 20:01:11,2016-02-03 20:37:59
"16-02-04",0,5,9,0,0,0.160185185185185,2016-02-04 20:16:34,2016-02-04 20:45:36
"16-02-05",0,1,2,0,0,0.100833333333333,2016-02-05 20:05:59,2016-02-05 20:38:10
"16-02-10",0,6,19,0,0,0.347469135802469,2016-02-10 20:00:52,2016-02-10 20:33:20
"16-02-11",0,8,20,0,0,0.411635802469136,2016-02-11 20:01:26,2016-02-11 20:57:58
"16-02-12",0,5,13,0,0,0.381388888888889,2016-02-12 20:00:03,2016-02-12 20:54:16
"16-02-15",2,9,19,41.7894736842105,0.0472222222222222,0.629351851851852,2016-02-15 20:04:05,2016-02-15 20:57:51
"16-02-16",0,8,20,24.15,0.134166666666667,0.763950617283951,2016-02-16 20:01:29,2016-02-16 20:56:03
"16-02-17",0,8,25,15.56,0.108055555555556,0.708549382716049,2016-02-17 20:01:26,2016-02-17 20:59:20
"16-02-18",0,5,117,351.17094017094,12.6725,0.924567901234568,2016-02-18 20:00:18,2016-02-18 20:59:43
"16-02-19",0,8,71,387.422535211268,13.2355555555556,0.935462962962963,2016-02-19 20:02:25,2016-02-19 20:59:19
"16-02-22",17,9,76,995.815789473684,36.5588888888889,0.997222222222222,2016-02-22 20:00:01,2016-02-22 20:59:51
"16-02-23",18,9,75,559.133333333333,15.2097222222222,0.980833333333333,2016-02-23 20:00:07,2016-02-23 20:58:58
"16-02-24",6,9,92,299.347826086957,8.94444444444444,0.990092592592593,2016-02-24 20:00:20,2016-02-24 20:59:58
"16-02-25",0,8,68,319.25,7.58944444444444,0.923858024691358,2016-02-25 20:02:45,2016-02-25 20:59:48
"16-02-26",0,6,59,63.2881355932203,1.38,0.893518518518518,2016-02-26 20:00:12,2016-02-26 20:59:34
"16-02-29",0,8,92,44.7826086956522,1.48888888888889,0.730586419753086,2016-02-29 20:00:00,2016-02-29 20:59:02
"16-03-01",1,9,67,33.8507462686567,0.691111111111111,0.743179012345679,2016-03-01 20:00:53,2016-03-01 20:59:52
"16-03-02",0,3,48,54.8958333333333,0.850833333333333,0.574197530864198,2016-03-02 20:02:32,2016-03-02 20:59:53
"16-03-03",0,5,58,129.344827586207,2.88111111111111,0.81966049382716,2016-03-03 20:00:01,2016-03-03 20:59:46
"16-03-04",0,7,41,15.6585365853659,0.178333333333333,0.661635802469136,2016-03-04 20:01:20,2016-03-04 20:59:43
"16-03-07",2,9,79,181.443037974684,4.16111111111111,0.992777777777778,2016-03-07 20:00:22,2016-03-07 20:59:56
"16-03-08",4,9,36,727.472222222222,10.5558333333333,0.956111111111111,2016-03-08 20:02:32,2016-03-08 20:59:54
"16-03-09",0,8,32,38.65625,0.971666666666667,0.95570987654321,2016-03-09 20:02:26,2016-03-09 20:59:50
"16-03-10",7,9,28,1035.64285714286,10.685,0.993055555555556,2016-03-10 20:00:09,2016-03-10 20:59:44
"16-03-11",4,9,27,116,0.714444444444444,0.946944444444444,2016-03-11 20:00:19,2016-03-11 20:59:17
"16-03-14",1,9,52,61.4038461538462,0.886944444444444,0.940216049382716,2016-03-14 20:03:08,2016-03-14 20:59:42
"16-03-15",3,9,33,487.575757575758,4.65194444444444,0.984722222222222,2016-03-15 20:00:40,2016-03-15 20:59:45
"16-03-16",0,9,29,0.793103448275862,0.00638888888888889,0.823518518518519,2016-03-16 20:03:05,2016-03-16 20:58:44
